19:52:26 INFO  httpx | HTTP Request: GET http://127.0.0.1:8000/api/health "HTTP/1.1 200 OK"
19:52:28 INFO  httpx | HTTP Request: POST http://127.0.0.1:8000/api/auth/login "HTTP/1.1 200 OK"
19:52:28 INFO  tests.http | POST http://127.0.0.1:8000/api/auth/login -> 200 (277 ms)
19:52:28 INFO  httpx | HTTP Request: POST http://127.0.0.1:8000/api/contacts "HTTP/1.1 201 Created"
19:52:28 INFO  tests.http | POST http://127.0.0.1:8000/api/contacts -> 201 (19 ms)
19:52:28 INFO  httpx | HTTP Request: POST http://127.0.0.1:8000/api/contacts "HTTP/1.1 201 Created"
19:52:28 INFO  tests.http | POST http://127.0.0.1:8000/api/contacts -> 201 (155 ms)
19:52:28 INFO  httpx | HTTP Request: POST http://127.0.0.1:8000/api/segments "HTTP/1.1 201 Created"
19:52:28 INFO  tests.http | POST http://127.0.0.1:8000/api/segments -> 201 (14 ms)
19:52:29 INFO  httpx | HTTP Request: POST http://127.0.0.1:8000/api/campaigns "HTTP/1.1 201 Created"
19:52:29 INFO  tests.http | POST http://127.0.0.1:8000/api/campaigns -> 201 (18 ms)
19:52:29 INFO  httpx | HTTP Request: POST http://127.0.0.1:8000/api/campaigns/8/send "HTTP/1.1 202 Accepted"
19:52:29 INFO  tests.http | POST http://127.0.0.1:8000/api/campaigns/8/send -> 202 (35 ms)
19:52:29 INFO  httpx | HTTP Request: GET http://127.0.0.1:8000/api/campaigns/8/deliveries "HTTP/1.1 200 OK"
19:52:29 INFO  tests.http | GET http://127.0.0.1:8000/api/campaigns/8/deliveries -> 200 (12 ms)
19:52:29 INFO  httpx | HTTP Request: GET http://127.0.0.1:8000/api/campaigns/8/deliveries "HTTP/1.1 200 OK"
19:52:29 INFO  tests.http | GET http://127.0.0.1:8000/api/campaigns/8/deliveries -> 200 (4 ms)
19:52:29 INFO  httpx | HTTP Request: GET http://127.0.0.1:8000/api/campaigns/8/deliveries "HTTP/1.1 200 OK"
19:52:29 INFO  tests.http | GET http://127.0.0.1:8000/api/campaigns/8/deliveries -> 200 (4 ms)
19:52:29 INFO  httpx | HTTP Request: GET http://127.0.0.1:8000/api/campaigns/8/deliveries "HTTP/1.1 200 OK"
19:52:29 INFO  tests.http | GET http://127.0.0.1:8000/api/campaigns/8/deliveries -> 200 (5 ms)
19:52:30 INFO  httpx | HTTP Request: GET http://127.0.0.1:8000/api/campaigns/8/deliveries "HTTP/1.1 200 OK"
19:52:30 INFO  tests.http | GET http://127.0.0.1:8000/api/campaigns/8/deliveries -> 200 (5 ms)
19:52:30 INFO  httpx | HTTP Request: GET http://127.0.0.1:8000/api/campaigns/8/deliveries "HTTP/1.1 200 OK"
19:52:30 INFO  tests.http | GET http://127.0.0.1:8000/api/campaigns/8/deliveries -> 200 (5 ms)
19:52:30 INFO  httpx | HTTP Request: GET http://127.0.0.1:8000/api/campaigns/8/deliveries "HTTP/1.1 200 OK"
19:52:30 INFO  tests.http | GET http://127.0.0.1:8000/api/campaigns/8/deliveries -> 200 (5 ms)
19:52:30 INFO  httpx | HTTP Request: GET http://127.0.0.1:8000/api/campaigns/8/deliveries "HTTP/1.1 200 OK"
19:52:30 INFO  tests.http | GET http://127.0.0.1:8000/api/campaigns/8/deliveries -> 200 (6 ms)
19:52:31 INFO  httpx | HTTP Request: GET http://127.0.0.1:8000/api/campaigns/8/deliveries "HTTP/1.1 200 OK"
19:52:31 INFO  tests.http | GET http://127.0.0.1:8000/api/campaigns/8/deliveries -> 200 (4 ms)
19:52:31 INFO  httpx | HTTP Request: GET http://127.0.0.1:8000/api/analytics/campaigns/8 "HTTP/1.1 200 OK"
19:52:31 INFO  tests.http | GET http://127.0.0.1:8000/api/analytics/campaigns/8 -> 200 (5 ms)
19:52:31 INFO  httpx | HTTP Request: POST http://127.0.0.1:8000/api/webhooks/delivery "HTTP/1.1 200 OK"
19:52:31 INFO  tests.http | POST http://127.0.0.1:8000/api/webhooks/delivery -> 200 (10 ms)
19:52:31 INFO  httpx | HTTP Request: POST http://127.0.0.1:8000/api/webhooks/delivery "HTTP/1.1 200 OK"
19:52:31 INFO  tests.http | POST http://127.0.0.1:8000/api/webhooks/delivery -> 200 (9 ms)
19:52:31 INFO  httpx | HTTP Request: GET http://127.0.0.1:8000/api/analytics/campaigns/8 "HTTP/1.1 200 OK"
19:52:31 INFO  tests.http | GET http://127.0.0.1:8000/api/analytics/campaigns/8 -> 200 (4 ms)
19:52:31 INFO  httpx | HTTP Request: POST http://127.0.0.1:8000/api/webhooks/delivery "HTTP/1.1 200 OK"
19:52:31 INFO  tests.http | POST http://127.0.0.1:8000/api/webhooks/delivery -> 200 (5 ms)
19:52:31 INFO  httpx | HTTP Request: GET http://127.0.0.1:8000/api/analytics/campaigns/8 "HTTP/1.1 200 OK"
19:52:31 INFO  tests.http | GET http://127.0.0.1:8000/api/analytics/campaigns/8 -> 200 (4 ms)
19:52:31 INFO  httpx | HTTP Request: DELETE http://127.0.0.1:8000/api/contacts/61 "HTTP/1.1 500 Internal Server Error"
19:52:31 INFO  tests.http | DELETE http://127.0.0.1:8000/api/contacts/61 -> 500 (13 ms)
19:52:31 INFO  httpx | HTTP Request: DELETE http://127.0.0.1:8000/api/contacts/63 "HTTP/1.1 500 Internal Server Error"
19:52:31 INFO  tests.http | DELETE http://127.0.0.1:8000/api/contacts/63 -> 500 (13 ms)
