10:43:55 INFO  httpx | HTTP Request: GET http://127.0.0.1:8000/api/health "HTTP/1.1 200 OK"
10:43:57 INFO  httpx | HTTP Request: POST http://127.0.0.1:8000/api/auth/login "HTTP/1.1 200 OK"
10:43:57 INFO  tests.http | POST http://127.0.0.1:8000/api/auth/login -> 200 (332 ms)
10:43:57 INFO  httpx | HTTP Request: POST http://127.0.0.1:8000/api/contacts "HTTP/1.1 201 Created"
10:43:57 INFO  tests.http | POST http://127.0.0.1:8000/api/contacts -> 201 (15 ms)
10:43:57 INFO  httpx | HTTP Request: POST http://127.0.0.1:8000/api/contacts "HTTP/1.1 201 Created"
10:43:57 INFO  tests.http | POST http://127.0.0.1:8000/api/contacts -> 201 (18 ms)
10:43:57 INFO  httpx | HTTP Request: POST http://127.0.0.1:8000/api/segments "HTTP/1.1 201 Created"
10:43:57 INFO  tests.http | POST http://127.0.0.1:8000/api/segments -> 201 (14 ms)
10:43:57 INFO  httpx | HTTP Request: POST http://127.0.0.1:8000/api/campaigns "HTTP/1.1 201 Created"
10:43:57 INFO  tests.http | POST http://127.0.0.1:8000/api/campaigns -> 201 (20 ms)
10:43:57 INFO  httpx | HTTP Request: POST http://127.0.0.1:8000/api/campaigns/11/send "HTTP/1.1 202 Accepted"
10:43:57 INFO  tests.http | POST http://127.0.0.1:8000/api/campaigns/11/send -> 202 (22 ms)
10:43:57 INFO  httpx | HTTP Request: GET http://127.0.0.1:8000/api/campaigns/11/deliveries "HTTP/1.1 200 OK"
10:43:57 INFO  tests.http | GET http://127.0.0.1:8000/api/campaigns/11/deliveries -> 200 (11 ms)
10:43:58 INFO  httpx | HTTP Request: GET http://127.0.0.1:8000/api/campaigns/11/deliveries "HTTP/1.1 200 OK"
10:43:58 INFO  tests.http | GET http://127.0.0.1:8000/api/campaigns/11/deliveries -> 200 (12 ms)
10:43:58 INFO  httpx | HTTP Request: GET http://127.0.0.1:8000/api/campaigns/11/deliveries "HTTP/1.1 200 OK"
10:43:58 INFO  tests.http | GET http://127.0.0.1:8000/api/campaigns/11/deliveries -> 200 (5 ms)
10:43:58 INFO  httpx | HTTP Request: GET http://127.0.0.1:8000/api/campaigns/11/deliveries "HTTP/1.1 200 OK"
10:43:58 INFO  tests.http | GET http://127.0.0.1:8000/api/campaigns/11/deliveries -> 200 (5 ms)
10:43:59 INFO  httpx | HTTP Request: GET http://127.0.0.1:8000/api/campaigns/11/deliveries "HTTP/1.1 200 OK"
10:43:59 INFO  tests.http | GET http://127.0.0.1:8000/api/campaigns/11/deliveries -> 200 (5 ms)
10:43:59 INFO  httpx | HTTP Request: GET http://127.0.0.1:8000/api/campaigns/11/deliveries "HTTP/1.1 200 OK"
10:43:59 INFO  tests.http | GET http://127.0.0.1:8000/api/campaigns/11/deliveries -> 200 (5 ms)
10:43:59 INFO  httpx | HTTP Request: GET http://127.0.0.1:8000/api/campaigns/11/deliveries "HTTP/1.1 200 OK"
10:43:59 INFO  tests.http | GET http://127.0.0.1:8000/api/campaigns/11/deliveries -> 200 (5 ms)
10:43:59 INFO  httpx | HTTP Request: GET http://127.0.0.1:8000/api/campaigns/11/deliveries "HTTP/1.1 200 OK"
10:43:59 INFO  tests.http | GET http://127.0.0.1:8000/api/campaigns/11/deliveries -> 200 (5 ms)
10:44:00 INFO  httpx | HTTP Request: GET http://127.0.0.1:8000/api/campaigns/11/deliveries "HTTP/1.1 200 OK"
10:44:00 INFO  tests.http | GET http://127.0.0.1:8000/api/campaigns/11/deliveries -> 200 (8 ms)
10:44:00 INFO  httpx | HTTP Request: GET http://127.0.0.1:8000/api/analytics/campaigns/11 "HTTP/1.1 200 OK"
10:44:00 INFO  tests.http | GET http://127.0.0.1:8000/api/analytics/campaigns/11 -> 200 (9 ms)
10:44:00 INFO  httpx | HTTP Request: POST http://127.0.0.1:8000/api/webhooks/delivery "HTTP/1.1 200 OK"
10:44:00 INFO  tests.http | POST http://127.0.0.1:8000/api/webhooks/delivery -> 200 (14 ms)
10:44:00 INFO  httpx | HTTP Request: POST http://127.0.0.1:8000/api/webhooks/delivery "HTTP/1.1 200 OK"
10:44:00 INFO  tests.http | POST http://127.0.0.1:8000/api/webhooks/delivery -> 200 (7 ms)
10:44:00 INFO  httpx | HTTP Request: GET http://127.0.0.1:8000/api/analytics/campaigns/11 "HTTP/1.1 200 OK"
10:44:00 INFO  tests.http | GET http://127.0.0.1:8000/api/analytics/campaigns/11 -> 200 (6 ms)
10:44:00 INFO  httpx | HTTP Request: POST http://127.0.0.1:8000/api/webhooks/delivery "HTTP/1.1 200 OK"
10:44:00 INFO  tests.http | POST http://127.0.0.1:8000/api/webhooks/delivery -> 200 (10 ms)
10:44:00 INFO  httpx | HTTP Request: GET http://127.0.0.1:8000/api/analytics/campaigns/11 "HTTP/1.1 200 OK"
10:44:00 INFO  tests.http | GET http://127.0.0.1:8000/api/analytics/campaigns/11 -> 200 (10 ms)
10:44:00 INFO  httpx | HTTP Request: DELETE http://127.0.0.1:8000/api/contacts/63 "HTTP/1.1 409 Conflict"
10:44:00 INFO  tests.http | DELETE http://127.0.0.1:8000/api/contacts/63 -> 409 (10 ms)
10:44:00 INFO  httpx | HTTP Request: DELETE http://127.0.0.1:8000/api/contacts/64 "HTTP/1.1 409 Conflict"
10:44:00 INFO  tests.http | DELETE http://127.0.0.1:8000/api/contacts/64 -> 409 (7 ms)
