10:38:43 INFO  httpx | HTTP Request: POST http://127.0.0.1:8000/api/campaigns "HTTP/1.1 201 Created"
10:38:43 INFO  tests.http | POST http://127.0.0.1:8000/api/campaigns -> 201 (11 ms)
10:38:43 INFO  httpx | HTTP Request: PATCH http://127.0.0.1:8000/api/campaigns/11 "HTTP/1.1 200 OK"
10:38:43 INFO  tests.http | PATCH http://127.0.0.1:8000/api/campaigns/11 -> 200 (153 ms)
10:38:43 INFO  httpx | HTTP Request: PATCH http://127.0.0.1:8000/api/campaigns/11 "HTTP/1.1 200 OK"
10:38:43 INFO  tests.http | PATCH http://127.0.0.1:8000/api/campaigns/11 -> 200 (22 ms)
10:38:43 INFO  httpx | HTTP Request: PATCH http://127.0.0.1:8000/api/campaigns/11 "HTTP/1.1 422 Unprocessable Content"
10:38:43 INFO  tests.http | PATCH http://127.0.0.1:8000/api/campaigns/11 -> 422 (7 ms)
10:38:43 INFO  httpx | HTTP Request: PATCH http://127.0.0.1:8000/api/campaigns/11 "HTTP/1.1 422 Unprocessable Content"
10:38:43 INFO  tests.http | PATCH http://127.0.0.1:8000/api/campaigns/11 -> 422 (4 ms)
10:38:43 INFO  httpx | HTTP Request: PATCH http://127.0.0.1:8000/api/campaigns/11 "HTTP/1.1 422 Unprocessable Content"
10:38:43 INFO  tests.http | PATCH http://127.0.0.1:8000/api/campaigns/11 -> 422 (8 ms)
10:38:43 INFO  httpx | HTTP Request: GET http://127.0.0.1:8000/api/campaigns/11 "HTTP/1.1 200 OK"
10:38:43 INFO  tests.http | GET http://127.0.0.1:8000/api/campaigns/11 -> 200 (6 ms)
