11:02:32 INFO  httpx | HTTP Request: GET http://127.0.0.1:8000/api/health "HTTP/1.1 200 OK"
11:02:33 INFO  httpx | HTTP Request: POST http://127.0.0.1:8000/api/auth/login "HTTP/1.1 200 OK"
11:02:33 INFO  tests.http | POST http://127.0.0.1:8000/api/auth/login -> 200 (262 ms)
11:02:33 INFO  httpx | HTTP Request: POST http://127.0.0.1:8000/api/contacts "HTTP/1.1 201 Created"
11:02:33 INFO  tests.http | POST http://127.0.0.1:8000/api/contacts -> 201 (15 ms)
11:02:34 INFO  httpx | HTTP Request: POST http://127.0.0.1:8000/api/contacts "HTTP/1.1 201 Created"
11:02:34 INFO  tests.http | POST http://127.0.0.1:8000/api/contacts -> 201 (16 ms)
11:02:34 INFO  httpx | HTTP Request: POST http://127.0.0.1:8000/api/segments "HTTP/1.1 201 Created"
11:02:34 INFO  tests.http | POST http://127.0.0.1:8000/api/segments -> 201 (19 ms)
11:02:34 INFO  httpx | HTTP Request: POST http://127.0.0.1:8000/api/campaigns "HTTP/1.1 201 Created"
11:02:34 INFO  tests.http | POST http://127.0.0.1:8000/api/campaigns -> 201 (9 ms)
11:02:34 INFO  httpx | HTTP Request: POST http://127.0.0.1:8000/api/campaigns/10/send "HTTP/1.1 202 Accepted"
11:02:34 INFO  tests.http | POST http://127.0.0.1:8000/api/campaigns/10/send -> 202 (101 ms)
11:02:34 INFO  httpx | HTTP Request: GET http://127.0.0.1:8000/api/campaigns/10/deliveries "HTTP/1.1 200 OK"
11:02:34 INFO  tests.http | GET http://127.0.0.1:8000/api/campaigns/10/deliveries -> 200 (7 ms)
11:02:34 INFO  httpx | HTTP Request: GET http://127.0.0.1:8000/api/campaigns/10/deliveries "HTTP/1.1 200 OK"
11:02:34 INFO  tests.http | GET http://127.0.0.1:8000/api/campaigns/10/deliveries -> 200 (4 ms)
11:02:34 INFO  httpx | HTTP Request: GET http://127.0.0.1:8000/api/campaigns/10/deliveries "HTTP/1.1 200 OK"
11:02:34 INFO  tests.http | GET http://127.0.0.1:8000/api/campaigns/10/deliveries -> 200 (4 ms)
11:02:34 INFO  httpx | HTTP Request: GET http://127.0.0.1:8000/api/campaigns/10/deliveries "HTTP/1.1 200 OK"
11:02:34 INFO  tests.http | GET http://127.0.0.1:8000/api/campaigns/10/deliveries -> 200 (4 ms)
11:02:35 INFO  httpx | HTTP Request: GET http://127.0.0.1:8000/api/campaigns/10/deliveries "HTTP/1.1 200 OK"
11:02:35 INFO  tests.http | GET http://127.0.0.1:8000/api/campaigns/10/deliveries -> 200 (4 ms)
11:02:35 INFO  httpx | HTTP Request: GET http://127.0.0.1:8000/api/campaigns/10/deliveries "HTTP/1.1 200 OK"
11:02:35 INFO  tests.http | GET http://127.0.0.1:8000/api/campaigns/10/deliveries -> 200 (5 ms)
11:02:35 INFO  httpx | HTTP Request: GET http://127.0.0.1:8000/api/campaigns/10/deliveries "HTTP/1.1 200 OK"
11:02:35 INFO  tests.http | GET http://127.0.0.1:8000/api/campaigns/10/deliveries -> 200 (5 ms)
11:02:36 INFO  httpx | HTTP Request: GET http://127.0.0.1:8000/api/campaigns/10/deliveries "HTTP/1.1 200 OK"
11:02:36 INFO  tests.http | GET http://127.0.0.1:8000/api/campaigns/10/deliveries -> 200 (5 ms)
11:02:36 INFO  httpx | HTTP Request: GET http://127.0.0.1:8000/api/campaigns/10/deliveries "HTTP/1.1 200 OK"
11:02:36 INFO  tests.http | GET http://127.0.0.1:8000/api/campaigns/10/deliveries -> 200 (4 ms)
11:02:36 INFO  httpx | HTTP Request: GET http://127.0.0.1:8000/api/analytics/campaigns/10 "HTTP/1.1 200 OK"
11:02:36 INFO  tests.http | GET http://127.0.0.1:8000/api/analytics/campaigns/10 -> 200 (4 ms)
11:02:36 INFO  httpx | HTTP Request: POST http://127.0.0.1:8000/api/webhooks/delivery "HTTP/1.1 200 OK"
11:02:36 INFO  tests.http | POST http://127.0.0.1:8000/api/webhooks/delivery -> 200 (9 ms)
11:02:36 INFO  httpx | HTTP Request: POST http://127.0.0.1:8000/api/webhooks/delivery "HTTP/1.1 200 OK"
11:02:36 INFO  tests.http | POST http://127.0.0.1:8000/api/webhooks/delivery -> 200 (6 ms)
11:02:36 INFO  httpx | HTTP Request: GET http://127.0.0.1:8000/api/analytics/campaigns/10 "HTTP/1.1 200 OK"
11:02:36 INFO  tests.http | GET http://127.0.0.1:8000/api/analytics/campaigns/10 -> 200 (6 ms)
11:02:36 INFO  httpx | HTTP Request: POST http://127.0.0.1:8000/api/webhooks/delivery "HTTP/1.1 200 OK"
11:02:36 INFO  tests.http | POST http://127.0.0.1:8000/api/webhooks/delivery -> 200 (6 ms)
11:02:36 INFO  httpx | HTTP Request: GET http://127.0.0.1:8000/api/analytics/campaigns/10 "HTTP/1.1 200 OK"
11:02:36 INFO  tests.http | GET http://127.0.0.1:8000/api/analytics/campaigns/10 -> 200 (5 ms)
11:02:36 INFO  httpx | HTTP Request: DELETE http://127.0.0.1:8000/api/contacts/61 "HTTP/1.1 409 Conflict"
11:02:36 INFO  tests.http | DELETE http://127.0.0.1:8000/api/contacts/61 -> 409 (5 ms)
11:02:36 INFO  httpx | HTTP Request: DELETE http://127.0.0.1:8000/api/contacts/62 "HTTP/1.1 409 Conflict"
11:02:36 INFO  tests.http | DELETE http://127.0.0.1:8000/api/contacts/62 -> 409 (5 ms)
