09:53:59 INFO  httpx | HTTP Request: GET http://127.0.0.1:8000/api/health "HTTP/1.1 200 OK"
09:54:01 INFO  httpx | HTTP Request: POST http://127.0.0.1:8000/api/auth/login "HTTP/1.1 200 OK"
09:54:01 INFO  tests.http | POST http://127.0.0.1:8000/api/auth/login -> 200 (331 ms)
09:54:01 INFO  httpx | HTTP Request: POST http://127.0.0.1:8000/api/contacts "HTTP/1.1 201 Created"
09:54:01 INFO  tests.http | POST http://127.0.0.1:8000/api/contacts -> 201 (35 ms)
09:54:01 INFO  httpx | HTTP Request: DELETE http://127.0.0.1:8000/api/contacts/62 "HTTP/1.1 204 No Content"
09:54:01 INFO  tests.http | DELETE http://127.0.0.1:8000/api/contacts/62 -> 204 (15 ms)
09:54:01 INFO  httpx | HTTP Request: GET http://127.0.0.1:8000/api/contacts/62 "HTTP/1.1 404 Not Found"
09:54:01 INFO  tests.http | GET http://127.0.0.1:8000/api/contacts/62 -> 404 (17 ms)
09:54:01 INFO  httpx | HTTP Request: GET http://127.0.0.1:8000/api/contacts?q=contact.703a478b%40qa.example.com "HTTP/1.1 200 OK"
09:54:01 INFO  tests.http | GET http://127.0.0.1:8000/api/contacts?q=contact.703a478b%40qa.example.com -> 200 (17 ms)
