11:06:27 INFO  httpx | HTTP Request: GET http://127.0.0.1:8000/api/health "HTTP/1.1 200 OK"
11:06:29 INFO  httpx | HTTP Request: POST http://127.0.0.1:8000/api/auth/login "HTTP/1.1 200 OK"
11:06:29 INFO  tests.http | POST http://127.0.0.1:8000/api/auth/login -> 200 (292 ms)
11:06:29 INFO  httpx | HTTP Request: POST http://127.0.0.1:8000/api/campaigns "HTTP/1.1 201 Created"
11:06:29 INFO  tests.http | POST http://127.0.0.1:8000/api/campaigns -> 201 (20 ms)
11:06:29 INFO  httpx | HTTP Request: PATCH http://127.0.0.1:8000/api/campaigns/8 "HTTP/1.1 200 OK"
11:06:29 INFO  tests.http | PATCH http://127.0.0.1:8000/api/campaigns/8 -> 200 (15 ms)
11:06:29 INFO  httpx | HTTP Request: PATCH http://127.0.0.1:8000/api/campaigns/8 "HTTP/1.1 200 OK"
11:06:29 INFO  tests.http | PATCH http://127.0.0.1:8000/api/campaigns/8 -> 200 (11 ms)
11:06:29 INFO  httpx | HTTP Request: PATCH http://127.0.0.1:8000/api/campaigns/8 "HTTP/1.1 422 Unprocessable Content"
11:06:29 INFO  tests.http | PATCH http://127.0.0.1:8000/api/campaigns/8 -> 422 (6 ms)
11:06:29 INFO  httpx | HTTP Request: PATCH http://127.0.0.1:8000/api/campaigns/8 "HTTP/1.1 422 Unprocessable Content"
11:06:29 INFO  tests.http | PATCH http://127.0.0.1:8000/api/campaigns/8 -> 422 (7 ms)
11:06:29 INFO  httpx | HTTP Request: PATCH http://127.0.0.1:8000/api/campaigns/8 "HTTP/1.1 422 Unprocessable Content"
11:06:29 INFO  tests.http | PATCH http://127.0.0.1:8000/api/campaigns/8 -> 422 (8 ms)
11:06:29 INFO  httpx | HTTP Request: GET http://127.0.0.1:8000/api/campaigns/8 "HTTP/1.1 200 OK"
11:06:29 INFO  tests.http | GET http://127.0.0.1:8000/api/campaigns/8 -> 200 (11 ms)
