12:09:39 INFO  httpx | HTTP Request: GET http://127.0.0.1:8000/api/health "HTTP/1.1 200 OK"
12:09:41 INFO  httpx | HTTP Request: POST http://127.0.0.1:8000/api/auth/login "HTTP/1.1 200 OK"
12:09:41 INFO  tests.http | POST http://127.0.0.1:8000/api/auth/login -> 200 (255 ms)
12:09:41 INFO  httpx | HTTP Request: POST http://127.0.0.1:8000/api/campaigns "HTTP/1.1 201 Created"
12:09:41 INFO  tests.http | POST http://127.0.0.1:8000/api/campaigns -> 201 (12 ms)
12:09:41 INFO  httpx | HTTP Request: PATCH http://127.0.0.1:8000/api/campaigns/8 "HTTP/1.1 200 OK"
12:09:41 INFO  tests.http | PATCH http://127.0.0.1:8000/api/campaigns/8 -> 200 (19 ms)
12:09:41 INFO  httpx | HTTP Request: PATCH http://127.0.0.1:8000/api/campaigns/8 "HTTP/1.1 200 OK"
12:09:41 INFO  tests.http | PATCH http://127.0.0.1:8000/api/campaigns/8 -> 200 (17 ms)
12:09:41 INFO  httpx | HTTP Request: PATCH http://127.0.0.1:8000/api/campaigns/8 "HTTP/1.1 422 Unprocessable Content"
12:09:41 INFO  tests.http | PATCH http://127.0.0.1:8000/api/campaigns/8 -> 422 (16 ms)
12:09:41 INFO  httpx | HTTP Request: PATCH http://127.0.0.1:8000/api/campaigns/8 "HTTP/1.1 422 Unprocessable Content"
12:09:41 INFO  tests.http | PATCH http://127.0.0.1:8000/api/campaigns/8 -> 422 (6 ms)
12:09:41 INFO  httpx | HTTP Request: PATCH http://127.0.0.1:8000/api/campaigns/8 "HTTP/1.1 422 Unprocessable Content"
12:09:41 INFO  tests.http | PATCH http://127.0.0.1:8000/api/campaigns/8 -> 422 (8 ms)
12:09:41 INFO  httpx | HTTP Request: GET http://127.0.0.1:8000/api/campaigns/8 "HTTP/1.1 200 OK"
12:09:41 INFO  tests.http | GET http://127.0.0.1:8000/api/campaigns/8 -> 200 (7 ms)
