12:37:45 INFO  httpx | HTTP Request: GET http://127.0.0.1:8000/api/health "HTTP/1.1 200 OK"
12:37:45 INFO  tests.setup | Resetting database at http://127.0.0.1:8000
12:37:46 INFO  httpx | HTTP Request: POST http://127.0.0.1:8000/api/test/reset "HTTP/1.1 200 OK"
12:37:46 INFO  tests.setup | Database reset complete: {'tenants': 2, 'users': 6, 'contacts': 60, 'segments': 4, 'campaigns': 5, 'notifications': 3, 'surveys': 2, 'survey_responses': 5, 'deliveries': 15}
12:37:47 INFO  httpx | HTTP Request: POST http://127.0.0.1:8000/api/auth/login "HTTP/1.1 200 OK"
12:37:47 INFO  tests.http | POST http://127.0.0.1:8000/api/auth/login -> 200 (290 ms)
12:37:47 INFO  httpx | HTTP Request: POST http://127.0.0.1:8000/api/campaigns "HTTP/1.1 201 Created"
12:37:47 INFO  tests.http | POST http://127.0.0.1:8000/api/campaigns -> 201 (12 ms)
12:37:47 INFO  httpx | HTTP Request: PATCH http://127.0.0.1:8000/api/campaigns/6 "HTTP/1.1 200 OK"
12:37:47 INFO  tests.http | PATCH http://127.0.0.1:8000/api/campaigns/6 -> 200 (11 ms)
12:37:47 INFO  httpx | HTTP Request: PATCH http://127.0.0.1:8000/api/campaigns/6 "HTTP/1.1 200 OK"
12:37:47 INFO  tests.http | PATCH http://127.0.0.1:8000/api/campaigns/6 -> 200 (10 ms)
12:37:47 INFO  httpx | HTTP Request: PATCH http://127.0.0.1:8000/api/campaigns/6 "HTTP/1.1 422 Unprocessable Content"
12:37:47 INFO  tests.http | PATCH http://127.0.0.1:8000/api/campaigns/6 -> 422 (6 ms)
12:37:47 INFO  httpx | HTTP Request: PATCH http://127.0.0.1:8000/api/campaigns/6 "HTTP/1.1 422 Unprocessable Content"
12:37:47 INFO  tests.http | PATCH http://127.0.0.1:8000/api/campaigns/6 -> 422 (5 ms)
12:37:47 INFO  httpx | HTTP Request: PATCH http://127.0.0.1:8000/api/campaigns/6 "HTTP/1.1 422 Unprocessable Content"
12:37:47 INFO  tests.http | PATCH http://127.0.0.1:8000/api/campaigns/6 -> 422 (5 ms)
12:37:47 INFO  httpx | HTTP Request: GET http://127.0.0.1:8000/api/campaigns/6 "HTTP/1.1 200 OK"
12:37:47 INFO  tests.http | GET http://127.0.0.1:8000/api/campaigns/6 -> 200 (6 ms)
