11:06:27 INFO  httpx | HTTP Request: GET http://127.0.0.1:8000/api/health "HTTP/1.1 200 OK"
11:06:29 INFO  httpx | HTTP Request: POST http://127.0.0.1:8000/api/auth/login "HTTP/1.1 200 OK"
11:06:29 INFO  tests.http | POST http://127.0.0.1:8000/api/auth/login -> 200 (294 ms)
11:06:29 INFO  httpx | HTTP Request: POST http://127.0.0.1:8000/api/contacts "HTTP/1.1 201 Created"
11:06:29 INFO  tests.http | POST http://127.0.0.1:8000/api/contacts -> 201 (26 ms)
11:06:29 INFO  httpx | HTTP Request: POST http://127.0.0.1:8000/api/contacts "HTTP/1.1 201 Created"
11:06:29 INFO  tests.http | POST http://127.0.0.1:8000/api/contacts -> 201 (14 ms)
11:06:29 INFO  httpx | HTTP Request: POST http://127.0.0.1:8000/api/segments "HTTP/1.1 201 Created"
11:06:29 INFO  tests.http | POST http://127.0.0.1:8000/api/segments -> 201 (19 ms)
11:06:29 INFO  httpx | HTTP Request: POST http://127.0.0.1:8000/api/campaigns "HTTP/1.1 201 Created"
11:06:29 INFO  tests.http | POST http://127.0.0.1:8000/api/campaigns -> 201 (10 ms)
11:06:29 INFO  httpx | HTTP Request: POST http://127.0.0.1:8000/api/campaigns/12/send "HTTP/1.1 202 Accepted"
11:06:29 INFO  tests.http | POST http://127.0.0.1:8000/api/campaigns/12/send -> 202 (24 ms)
11:06:29 INFO  httpx | HTTP Request: GET http://127.0.0.1:8000/api/campaigns/12/deliveries "HTTP/1.1 200 OK"
11:06:29 INFO  tests.http | GET http://127.0.0.1:8000/api/campaigns/12/deliveries -> 200 (13 ms)
11:06:30 INFO  httpx | HTTP Request: GET http://127.0.0.1:8000/api/campaigns/12/deliveries "HTTP/1.1 200 OK"
11:06:30 INFO  tests.http | GET http://127.0.0.1:8000/api/campaigns/12/deliveries -> 200 (7 ms)
11:06:30 INFO  httpx | HTTP Request: GET http://127.0.0.1:8000/api/campaigns/12/deliveries "HTTP/1.1 200 OK"
11:06:30 INFO  tests.http | GET http://127.0.0.1:8000/api/campaigns/12/deliveries -> 200 (6 ms)
11:06:30 INFO  httpx | HTTP Request: GET http://127.0.0.1:8000/api/campaigns/12/deliveries "HTTP/1.1 200 OK"
11:06:30 INFO  tests.http | GET http://127.0.0.1:8000/api/campaigns/12/deliveries -> 200 (6 ms)
11:06:31 INFO  httpx | HTTP Request: GET http://127.0.0.1:8000/api/campaigns/12/deliveries "HTTP/1.1 200 OK"
11:06:31 INFO  tests.http | GET http://127.0.0.1:8000/api/campaigns/12/deliveries -> 200 (6 ms)
11:06:31 INFO  httpx | HTTP Request: GET http://127.0.0.1:8000/api/campaigns/12/deliveries "HTTP/1.1 200 OK"
11:06:31 INFO  tests.http | GET http://127.0.0.1:8000/api/campaigns/12/deliveries -> 200 (6 ms)
11:06:31 INFO  httpx | HTTP Request: GET http://127.0.0.1:8000/api/campaigns/12/deliveries "HTTP/1.1 200 OK"
11:06:31 INFO  tests.http | GET http://127.0.0.1:8000/api/campaigns/12/deliveries -> 200 (6 ms)
11:06:31 INFO  httpx | HTTP Request: GET http://127.0.0.1:8000/api/campaigns/12/deliveries "HTTP/1.1 200 OK"
11:06:31 INFO  tests.http | GET http://127.0.0.1:8000/api/campaigns/12/deliveries -> 200 (6 ms)
11:06:32 INFO  httpx | HTTP Request: GET http://127.0.0.1:8000/api/campaigns/12/deliveries "HTTP/1.1 200 OK"
11:06:32 INFO  tests.http | GET http://127.0.0.1:8000/api/campaigns/12/deliveries -> 200 (6 ms)
11:06:32 INFO  httpx | HTTP Request: GET http://127.0.0.1:8000/api/analytics/campaigns/12 "HTTP/1.1 200 OK"
11:06:32 INFO  tests.http | GET http://127.0.0.1:8000/api/analytics/campaigns/12 -> 200 (8 ms)
11:06:32 INFO  httpx | HTTP Request: POST http://127.0.0.1:8000/api/webhooks/delivery "HTTP/1.1 200 OK"
11:06:32 INFO  tests.http | POST http://127.0.0.1:8000/api/webhooks/delivery -> 200 (11 ms)
11:06:32 INFO  httpx | HTTP Request: POST http://127.0.0.1:8000/api/webhooks/delivery "HTTP/1.1 200 OK"
11:06:32 INFO  tests.http | POST http://127.0.0.1:8000/api/webhooks/delivery -> 200 (6 ms)
11:06:32 INFO  httpx | HTTP Request: GET http://127.0.0.1:8000/api/analytics/campaigns/12 "HTTP/1.1 200 OK"
11:06:32 INFO  tests.http | GET http://127.0.0.1:8000/api/analytics/campaigns/12 -> 200 (4 ms)
11:06:32 INFO  httpx | HTTP Request: POST http://127.0.0.1:8000/api/webhooks/delivery "HTTP/1.1 200 OK"
11:06:32 INFO  tests.http | POST http://127.0.0.1:8000/api/webhooks/delivery -> 200 (8 ms)
11:06:32 INFO  httpx | HTTP Request: GET http://127.0.0.1:8000/api/analytics/campaigns/12 "HTTP/1.1 200 OK"
11:06:32 INFO  tests.http | GET http://127.0.0.1:8000/api/analytics/campaigns/12 -> 200 (4 ms)
11:06:32 INFO  httpx | HTTP Request: DELETE http://127.0.0.1:8000/api/contacts/61 "HTTP/1.1 500 Internal Server Error"
11:06:32 INFO  tests.http | DELETE http://127.0.0.1:8000/api/contacts/61 -> 500 (17 ms)
11:06:32 INFO  httpx | HTTP Request: DELETE http://127.0.0.1:8000/api/contacts/62 "HTTP/1.1 500 Internal Server Error"
11:06:32 INFO  tests.http | DELETE http://127.0.0.1:8000/api/contacts/62 -> 500 (12 ms)
