07:09:54 INFO  httpx | HTTP Request: GET http://127.0.0.1:8000/api/health "HTTP/1.1 200 OK"
07:09:56 INFO  httpx | HTTP Request: POST http://127.0.0.1:8000/api/auth/login "HTTP/1.1 200 OK"
07:09:56 INFO  tests.http | POST http://127.0.0.1:8000/api/auth/login -> 200 (298 ms)
07:09:56 INFO  httpx | HTTP Request: POST http://127.0.0.1:8000/api/contacts "HTTP/1.1 201 Created"
07:09:56 INFO  tests.http | POST http://127.0.0.1:8000/api/contacts -> 201 (28 ms)
07:09:56 INFO  httpx | HTTP Request: POST http://127.0.0.1:8000/api/contacts "HTTP/1.1 201 Created"
07:09:56 INFO  tests.http | POST http://127.0.0.1:8000/api/contacts -> 201 (28 ms)
07:09:56 INFO  httpx | HTTP Request: POST http://127.0.0.1:8000/api/segments "HTTP/1.1 201 Created"
07:09:56 INFO  tests.http | POST http://127.0.0.1:8000/api/segments -> 201 (24 ms)
07:09:56 INFO  httpx | HTTP Request: POST http://127.0.0.1:8000/api/campaigns "HTTP/1.1 201 Created"
07:09:56 INFO  tests.http | POST http://127.0.0.1:8000/api/campaigns -> 201 (142 ms)
07:09:56 INFO  httpx | HTTP Request: POST http://127.0.0.1:8000/api/campaigns/9/send "HTTP/1.1 202 Accepted"
07:09:56 INFO  tests.http | POST http://127.0.0.1:8000/api/campaigns/9/send -> 202 (24 ms)
07:09:56 INFO  httpx | HTTP Request: GET http://127.0.0.1:8000/api/campaigns/9/deliveries "HTTP/1.1 200 OK"
07:09:56 INFO  tests.http | GET http://127.0.0.1:8000/api/campaigns/9/deliveries -> 200 (14 ms)
07:09:57 INFO  httpx | HTTP Request: GET http://127.0.0.1:8000/api/campaigns/9/deliveries "HTTP/1.1 200 OK"
07:09:57 INFO  tests.http | GET http://127.0.0.1:8000/api/campaigns/9/deliveries -> 200 (10 ms)
07:09:57 INFO  httpx | HTTP Request: GET http://127.0.0.1:8000/api/campaigns/9/deliveries "HTTP/1.1 200 OK"
07:09:57 INFO  tests.http | GET http://127.0.0.1:8000/api/campaigns/9/deliveries -> 200 (5 ms)
07:09:57 INFO  httpx | HTTP Request: GET http://127.0.0.1:8000/api/campaigns/9/deliveries "HTTP/1.1 200 OK"
07:09:57 INFO  tests.http | GET http://127.0.0.1:8000/api/campaigns/9/deliveries -> 200 (5 ms)
07:09:57 INFO  httpx | HTTP Request: GET http://127.0.0.1:8000/api/campaigns/9/deliveries "HTTP/1.1 200 OK"
07:09:57 INFO  tests.http | GET http://127.0.0.1:8000/api/campaigns/9/deliveries -> 200 (5 ms)
07:09:58 INFO  httpx | HTTP Request: GET http://127.0.0.1:8000/api/campaigns/9/deliveries "HTTP/1.1 200 OK"
07:09:58 INFO  tests.http | GET http://127.0.0.1:8000/api/campaigns/9/deliveries -> 200 (5 ms)
07:09:58 INFO  httpx | HTTP Request: GET http://127.0.0.1:8000/api/campaigns/9/deliveries "HTTP/1.1 200 OK"
07:09:58 INFO  tests.http | GET http://127.0.0.1:8000/api/campaigns/9/deliveries -> 200 (5 ms)
07:09:58 INFO  httpx | HTTP Request: GET http://127.0.0.1:8000/api/campaigns/9/deliveries "HTTP/1.1 200 OK"
07:09:58 INFO  tests.http | GET http://127.0.0.1:8000/api/campaigns/9/deliveries -> 200 (5 ms)
07:09:59 INFO  httpx | HTTP Request: GET http://127.0.0.1:8000/api/campaigns/9/deliveries "HTTP/1.1 200 OK"
07:09:59 INFO  tests.http | GET http://127.0.0.1:8000/api/campaigns/9/deliveries -> 200 (5 ms)
07:09:59 INFO  httpx | HTTP Request: GET http://127.0.0.1:8000/api/analytics/campaigns/9 "HTTP/1.1 200 OK"
07:09:59 INFO  tests.http | GET http://127.0.0.1:8000/api/analytics/campaigns/9 -> 200 (5 ms)
07:09:59 INFO  httpx | HTTP Request: POST http://127.0.0.1:8000/api/webhooks/delivery "HTTP/1.1 200 OK"
07:09:59 INFO  tests.http | POST http://127.0.0.1:8000/api/webhooks/delivery -> 200 (9 ms)
07:09:59 INFO  httpx | HTTP Request: POST http://127.0.0.1:8000/api/webhooks/delivery "HTTP/1.1 200 OK"
07:09:59 INFO  tests.http | POST http://127.0.0.1:8000/api/webhooks/delivery -> 200 (12 ms)
07:09:59 INFO  httpx | HTTP Request: GET http://127.0.0.1:8000/api/analytics/campaigns/9 "HTTP/1.1 200 OK"
07:09:59 INFO  tests.http | GET http://127.0.0.1:8000/api/analytics/campaigns/9 -> 200 (5 ms)
07:09:59 INFO  httpx | HTTP Request: POST http://127.0.0.1:8000/api/webhooks/delivery "HTTP/1.1 200 OK"
07:09:59 INFO  tests.http | POST http://127.0.0.1:8000/api/webhooks/delivery -> 200 (10 ms)
07:09:59 INFO  httpx | HTTP Request: GET http://127.0.0.1:8000/api/analytics/campaigns/9 "HTTP/1.1 200 OK"
07:09:59 INFO  tests.http | GET http://127.0.0.1:8000/api/analytics/campaigns/9 -> 200 (7 ms)
07:09:59 INFO  httpx | HTTP Request: DELETE http://127.0.0.1:8000/api/contacts/61 "HTTP/1.1 409 Conflict"
07:09:59 INFO  tests.http | DELETE http://127.0.0.1:8000/api/contacts/61 -> 409 (9 ms)
07:09:59 INFO  httpx | HTTP Request: DELETE http://127.0.0.1:8000/api/contacts/62 "HTTP/1.1 409 Conflict"
07:09:59 INFO  tests.http | DELETE http://127.0.0.1:8000/api/contacts/62 -> 409 (7 ms)
