10:05:35 INFO  httpx | HTTP Request: POST http://127.0.0.1:8000/api/campaigns "HTTP/1.1 201 Created"
10:05:35 INFO  tests.http | POST http://127.0.0.1:8000/api/campaigns -> 201 (13 ms)
10:05:35 INFO  httpx | HTTP Request: PATCH http://127.0.0.1:8000/api/campaigns/11 "HTTP/1.1 200 OK"
10:05:35 INFO  tests.http | PATCH http://127.0.0.1:8000/api/campaigns/11 -> 200 (15 ms)
10:05:35 INFO  httpx | HTTP Request: PATCH http://127.0.0.1:8000/api/campaigns/11 "HTTP/1.1 200 OK"
10:05:35 INFO  tests.http | PATCH http://127.0.0.1:8000/api/campaigns/11 -> 200 (23 ms)
10:05:35 INFO  httpx | HTTP Request: PATCH http://127.0.0.1:8000/api/campaigns/11 "HTTP/1.1 422 Unprocessable Content"
10:05:35 INFO  tests.http | PATCH http://127.0.0.1:8000/api/campaigns/11 -> 422 (22 ms)
10:05:35 INFO  httpx | HTTP Request: PATCH http://127.0.0.1:8000/api/campaigns/11 "HTTP/1.1 422 Unprocessable Content"
10:05:35 INFO  tests.http | PATCH http://127.0.0.1:8000/api/campaigns/11 -> 422 (14 ms)
10:05:35 INFO  httpx | HTTP Request: PATCH http://127.0.0.1:8000/api/campaigns/11 "HTTP/1.1 422 Unprocessable Content"
10:05:35 INFO  tests.http | PATCH http://127.0.0.1:8000/api/campaigns/11 -> 422 (8 ms)
10:05:35 INFO  httpx | HTTP Request: GET http://127.0.0.1:8000/api/campaigns/11 "HTTP/1.1 200 OK"
10:05:35 INFO  tests.http | GET http://127.0.0.1:8000/api/campaigns/11 -> 200 (8 ms)
