10:38:41 INFO  httpx | HTTP Request: GET http://127.0.0.1:8000/api/health "HTTP/1.1 200 OK"
10:38:43 INFO  httpx | HTTP Request: POST http://127.0.0.1:8000/api/auth/login "HTTP/1.1 200 OK"
10:38:43 INFO  tests.http | POST http://127.0.0.1:8000/api/auth/login -> 200 (301 ms)
10:38:43 INFO  httpx | HTTP Request: POST http://127.0.0.1:8000/api/contacts "HTTP/1.1 201 Created"
10:38:43 INFO  tests.http | POST http://127.0.0.1:8000/api/contacts -> 201 (60 ms)
10:38:43 INFO  httpx | HTTP Request: POST http://127.0.0.1:8000/api/contacts "HTTP/1.1 201 Created"
10:38:43 INFO  tests.http | POST http://127.0.0.1:8000/api/contacts -> 201 (27 ms)
10:38:43 INFO  httpx | HTTP Request: POST http://127.0.0.1:8000/api/segments "HTTP/1.1 201 Created"
10:38:43 INFO  tests.http | POST http://127.0.0.1:8000/api/segments -> 201 (16 ms)
10:38:43 INFO  httpx | HTTP Request: POST http://127.0.0.1:8000/api/campaigns "HTTP/1.1 201 Created"
10:38:43 INFO  tests.http | POST http://127.0.0.1:8000/api/campaigns -> 201 (20 ms)
10:38:43 INFO  httpx | HTTP Request: POST http://127.0.0.1:8000/api/campaigns/9/send "HTTP/1.1 202 Accepted"
10:38:43 INFO  tests.http | POST http://127.0.0.1:8000/api/campaigns/9/send -> 202 (159 ms)
10:38:43 INFO  httpx | HTTP Request: GET http://127.0.0.1:8000/api/campaigns/9/deliveries "HTTP/1.1 200 OK"
10:38:43 INFO  tests.http | GET http://127.0.0.1:8000/api/campaigns/9/deliveries -> 200 (12 ms)
10:38:43 INFO  httpx | HTTP Request: GET http://127.0.0.1:8000/api/campaigns/9/deliveries "HTTP/1.1 200 OK"
10:38:43 INFO  tests.http | GET http://127.0.0.1:8000/api/campaigns/9/deliveries -> 200 (7 ms)
10:38:44 INFO  httpx | HTTP Request: GET http://127.0.0.1:8000/api/campaigns/9/deliveries "HTTP/1.1 200 OK"
10:38:44 INFO  tests.http | GET http://127.0.0.1:8000/api/campaigns/9/deliveries -> 200 (6 ms)
10:38:44 INFO  httpx | HTTP Request: GET http://127.0.0.1:8000/api/campaigns/9/deliveries "HTTP/1.1 200 OK"
10:38:44 INFO  tests.http | GET http://127.0.0.1:8000/api/campaigns/9/deliveries -> 200 (8 ms)
10:38:44 INFO  httpx | HTTP Request: GET http://127.0.0.1:8000/api/campaigns/9/deliveries "HTTP/1.1 200 OK"
10:38:44 INFO  tests.http | GET http://127.0.0.1:8000/api/campaigns/9/deliveries -> 200 (8 ms)
10:38:44 INFO  httpx | HTTP Request: GET http://127.0.0.1:8000/api/campaigns/9/deliveries "HTTP/1.1 200 OK"
10:38:44 INFO  tests.http | GET http://127.0.0.1:8000/api/campaigns/9/deliveries -> 200 (8 ms)
10:38:45 INFO  httpx | HTTP Request: GET http://127.0.0.1:8000/api/campaigns/9/deliveries "HTTP/1.1 200 OK"
10:38:45 INFO  tests.http | GET http://127.0.0.1:8000/api/campaigns/9/deliveries -> 200 (8 ms)
10:38:45 INFO  httpx | HTTP Request: GET http://127.0.0.1:8000/api/campaigns/9/deliveries "HTTP/1.1 200 OK"
10:38:45 INFO  tests.http | GET http://127.0.0.1:8000/api/campaigns/9/deliveries -> 200 (8 ms)
10:38:45 INFO  httpx | HTTP Request: GET http://127.0.0.1:8000/api/campaigns/9/deliveries "HTTP/1.1 200 OK"
10:38:45 INFO  tests.http | GET http://127.0.0.1:8000/api/campaigns/9/deliveries -> 200 (10 ms)
10:38:45 INFO  httpx | HTTP Request: GET http://127.0.0.1:8000/api/analytics/campaigns/9 "HTTP/1.1 200 OK"
10:38:45 INFO  tests.http | GET http://127.0.0.1:8000/api/analytics/campaigns/9 -> 200 (6 ms)
10:38:45 INFO  httpx | HTTP Request: POST http://127.0.0.1:8000/api/webhooks/delivery "HTTP/1.1 200 OK"
10:38:45 INFO  tests.http | POST http://127.0.0.1:8000/api/webhooks/delivery -> 200 (12 ms)
10:38:45 INFO  httpx | HTTP Request: POST http://127.0.0.1:8000/api/webhooks/delivery "HTTP/1.1 200 OK"
10:38:45 INFO  tests.http | POST http://127.0.0.1:8000/api/webhooks/delivery -> 200 (10 ms)
10:38:45 INFO  httpx | HTTP Request: GET http://127.0.0.1:8000/api/analytics/campaigns/9 "HTTP/1.1 200 OK"
10:38:45 INFO  tests.http | GET http://127.0.0.1:8000/api/analytics/campaigns/9 -> 200 (7 ms)
10:38:45 INFO  httpx | HTTP Request: POST http://127.0.0.1:8000/api/webhooks/delivery "HTTP/1.1 200 OK"
10:38:45 INFO  tests.http | POST http://127.0.0.1:8000/api/webhooks/delivery -> 200 (10 ms)
10:38:45 INFO  httpx | HTTP Request: GET http://127.0.0.1:8000/api/analytics/campaigns/9 "HTTP/1.1 200 OK"
10:38:45 INFO  tests.http | GET http://127.0.0.1:8000/api/analytics/campaigns/9 -> 200 (6 ms)
10:38:45 INFO  httpx | HTTP Request: DELETE http://127.0.0.1:8000/api/contacts/61 "HTTP/1.1 409 Conflict"
10:38:45 INFO  tests.http | DELETE http://127.0.0.1:8000/api/contacts/61 -> 409 (7 ms)
10:38:45 INFO  httpx | HTTP Request: DELETE http://127.0.0.1:8000/api/contacts/62 "HTTP/1.1 409 Conflict"
10:38:45 INFO  tests.http | DELETE http://127.0.0.1:8000/api/contacts/62 -> 409 (7 ms)
