10:05:33 INFO  httpx | HTTP Request: GET http://127.0.0.1:8000/api/health "HTTP/1.1 200 OK"
10:05:35 INFO  httpx | HTTP Request: POST http://127.0.0.1:8000/api/auth/login "HTTP/1.1 200 OK"
10:05:35 INFO  tests.http | POST http://127.0.0.1:8000/api/auth/login -> 200 (305 ms)
10:05:35 INFO  httpx | HTTP Request: POST http://127.0.0.1:8000/api/contacts "HTTP/1.1 201 Created"
10:05:35 INFO  tests.http | POST http://127.0.0.1:8000/api/contacts -> 201 (30 ms)
10:05:35 INFO  httpx | HTTP Request: GET http://127.0.0.1:8000/api/contacts?country=GB "HTTP/1.1 200 OK"
10:05:35 INFO  tests.http | GET http://127.0.0.1:8000/api/contacts?country=GB -> 200 (20 ms)
10:05:35 INFO  httpx | HTTP Request: GET http://127.0.0.1:8000/api/contacts?plan=enterprise "HTTP/1.1 200 OK"
10:05:35 INFO  tests.http | GET http://127.0.0.1:8000/api/contacts?plan=enterprise -> 200 (14 ms)
10:05:35 INFO  httpx | HTTP Request: GET http://127.0.0.1:8000/api/contacts?country=GB&plan=enterprise "HTTP/1.1 200 OK"
10:05:35 INFO  tests.http | GET http://127.0.0.1:8000/api/contacts?country=GB&plan=enterprise -> 200 (23 ms)
10:05:35 INFO  httpx | HTTP Request: DELETE http://127.0.0.1:8000/api/contacts/62 "HTTP/1.1 204 No Content"
10:05:35 INFO  tests.http | DELETE http://127.0.0.1:8000/api/contacts/62 -> 204 (14 ms)
