11:37:48 INFO  httpx | HTTP Request: POST http://127.0.0.1:8000/api/contacts "HTTP/1.1 201 Created"
11:37:48 INFO  tests.http | POST http://127.0.0.1:8000/api/contacts -> 201 (10 ms)
11:37:48 INFO  httpx | HTTP Request: GET http://127.0.0.1:8000/api/contacts?q=Genevieve "HTTP/1.1 200 OK"
11:37:48 INFO  tests.http | GET http://127.0.0.1:8000/api/contacts?q=Genevieve -> 200 (6 ms)
11:37:48 INFO  httpx | HTTP Request: GET http://127.0.0.1:8000/api/contacts?q=genevieve "HTTP/1.1 200 OK"
11:37:48 INFO  tests.http | GET http://127.0.0.1:8000/api/contacts?q=genevieve -> 200 (5 ms)
11:37:48 INFO  httpx | HTTP Request: GET http://127.0.0.1:8000/api/contacts?q=GENEV "HTTP/1.1 200 OK"
11:37:48 INFO  tests.http | GET http://127.0.0.1:8000/api/contacts?q=GENEV -> 200 (5 ms)
11:37:48 INFO  httpx | HTTP Request: GET http://127.0.0.1:8000/api/contacts?q=contact.24d5852f%40qa.example.com "HTTP/1.1 200 OK"
11:37:48 INFO  tests.http | GET http://127.0.0.1:8000/api/contacts?q=contact.24d5852f%40qa.example.com -> 200 (124 ms)
11:37:48 INFO  httpx | HTTP Request: DELETE http://127.0.0.1:8000/api/contacts/68 "HTTP/1.1 204 No Content"
11:37:48 INFO  tests.http | DELETE http://127.0.0.1:8000/api/contacts/68 -> 204 (8 ms)
