19:59:40 INFO  httpx | HTTP Request: POST http://127.0.0.1:8000/api/notifications "HTTP/1.1 201 Created"
19:59:40 INFO  tests.http | POST http://127.0.0.1:8000/api/notifications -> 201 (7 ms)
19:59:40 INFO  httpx | HTTP Request: PATCH http://127.0.0.1:8000/api/notifications/5 "HTTP/1.1 200 OK"
19:59:40 INFO  tests.http | PATCH http://127.0.0.1:8000/api/notifications/5 -> 200 (7 ms)
19:59:40 INFO  httpx | HTTP Request: POST http://127.0.0.1:8000/api/contacts "HTTP/1.1 201 Created"
19:59:40 INFO  tests.http | POST http://127.0.0.1:8000/api/contacts -> 201 (6 ms)
19:59:40 INFO  httpx | HTTP Request: POST http://127.0.0.1:8000/api/notifications/5/impressions?contact_id=106 "HTTP/1.1 201 Created"
19:59:40 INFO  tests.http | POST http://127.0.0.1:8000/api/notifications/5/impressions?contact_id=106 -> 201 (7 ms)
19:59:40 INFO  httpx | HTTP Request: POST http://127.0.0.1:8000/api/notifications/5/impressions?contact_id=106 "HTTP/1.1 201 Created"
19:59:40 INFO  tests.http | POST http://127.0.0.1:8000/api/notifications/5/impressions?contact_id=106 -> 201 (8 ms)
19:59:40 INFO  httpx | HTTP Request: POST http://127.0.0.1:8000/api/notifications/5/impressions?contact_id=106 "HTTP/1.1 201 Created"
19:59:40 INFO  tests.http | POST http://127.0.0.1:8000/api/notifications/5/impressions?contact_id=106 -> 201 (7 ms)
19:59:40 INFO  httpx | HTTP Request: GET http://127.0.0.1:8000/api/notifications/5/eligibility?contact_id=106 "HTTP/1.1 200 OK"
19:59:40 INFO  tests.http | GET http://127.0.0.1:8000/api/notifications/5/eligibility?contact_id=106 -> 200 (6 ms)
