07:17:01 INFO  httpx | HTTP Request: GET http://127.0.0.1:8000/api/health "HTTP/1.1 200 OK"
07:17:01 INFO  tests.setup | Resetting database at http://127.0.0.1:8000
07:17:03 INFO  httpx | HTTP Request: POST http://127.0.0.1:8000/api/test/reset "HTTP/1.1 200 OK"
07:17:03 INFO  tests.setup | Database reset complete: {'tenants': 2, 'users': 6, 'contacts': 60, 'segments': 4, 'campaigns': 5, 'notifications': 3, 'surveys': 2, 'survey_responses': 5, 'deliveries': 15}
07:17:03 INFO  httpx | HTTP Request: POST http://127.0.0.1:8000/api/auth/login "HTTP/1.1 200 OK"
07:17:03 INFO  tests.http | POST http://127.0.0.1:8000/api/auth/login -> 200 (253 ms)
07:17:03 INFO  httpx | HTTP Request: POST http://127.0.0.1:8000/api/contacts "HTTP/1.1 201 Created"
07:17:03 INFO  tests.http | POST http://127.0.0.1:8000/api/contacts -> 201 (22 ms)
07:17:03 INFO  httpx | HTTP Request: POST http://127.0.0.1:8000/api/contacts "HTTP/1.1 201 Created"
07:17:03 INFO  tests.http | POST http://127.0.0.1:8000/api/contacts -> 201 (16 ms)
07:17:03 INFO  httpx | HTTP Request: POST http://127.0.0.1:8000/api/segments "HTTP/1.1 201 Created"
07:17:03 INFO  tests.http | POST http://127.0.0.1:8000/api/segments -> 201 (23 ms)
07:17:03 INFO  httpx | HTTP Request: POST http://127.0.0.1:8000/api/campaigns "HTTP/1.1 201 Created"
07:17:03 INFO  tests.http | POST http://127.0.0.1:8000/api/campaigns -> 201 (17 ms)
07:17:03 INFO  httpx | HTTP Request: POST http://127.0.0.1:8000/api/campaigns/8/send "HTTP/1.1 202 Accepted"
07:17:03 INFO  tests.http | POST http://127.0.0.1:8000/api/campaigns/8/send -> 202 (13 ms)
07:17:03 INFO  httpx | HTTP Request: GET http://127.0.0.1:8000/api/campaigns/8/deliveries "HTTP/1.1 200 OK"
07:17:03 INFO  tests.http | GET http://127.0.0.1:8000/api/campaigns/8/deliveries -> 200 (10 ms)
07:17:03 INFO  httpx | HTTP Request: GET http://127.0.0.1:8000/api/campaigns/8/deliveries "HTTP/1.1 200 OK"
07:17:03 INFO  tests.http | GET http://127.0.0.1:8000/api/campaigns/8/deliveries -> 200 (5 ms)
07:17:04 INFO  httpx | HTTP Request: GET http://127.0.0.1:8000/api/campaigns/8/deliveries "HTTP/1.1 200 OK"
07:17:04 INFO  tests.http | GET http://127.0.0.1:8000/api/campaigns/8/deliveries -> 200 (5 ms)
07:17:04 INFO  httpx | HTTP Request: GET http://127.0.0.1:8000/api/campaigns/8/deliveries "HTTP/1.1 200 OK"
07:17:04 INFO  tests.http | GET http://127.0.0.1:8000/api/campaigns/8/deliveries -> 200 (5 ms)
07:17:04 INFO  httpx | HTTP Request: GET http://127.0.0.1:8000/api/campaigns/8/deliveries "HTTP/1.1 200 OK"
07:17:04 INFO  tests.http | GET http://127.0.0.1:8000/api/campaigns/8/deliveries -> 200 (5 ms)
07:17:04 INFO  httpx | HTTP Request: GET http://127.0.0.1:8000/api/campaigns/8/deliveries "HTTP/1.1 200 OK"
07:17:04 INFO  tests.http | GET http://127.0.0.1:8000/api/campaigns/8/deliveries -> 200 (5 ms)
07:17:05 INFO  httpx | HTTP Request: GET http://127.0.0.1:8000/api/campaigns/8/deliveries "HTTP/1.1 200 OK"
07:17:05 INFO  tests.http | GET http://127.0.0.1:8000/api/campaigns/8/deliveries -> 200 (5 ms)
07:17:05 INFO  httpx | HTTP Request: GET http://127.0.0.1:8000/api/campaigns/8/deliveries "HTTP/1.1 200 OK"
07:17:05 INFO  tests.http | GET http://127.0.0.1:8000/api/campaigns/8/deliveries -> 200 (5 ms)
07:17:05 INFO  httpx | HTTP Request: GET http://127.0.0.1:8000/api/campaigns/8/deliveries "HTTP/1.1 200 OK"
07:17:05 INFO  tests.http | GET http://127.0.0.1:8000/api/campaigns/8/deliveries -> 200 (5 ms)
07:17:05 INFO  httpx | HTTP Request: GET http://127.0.0.1:8000/api/analytics/campaigns/8 "HTTP/1.1 200 OK"
07:17:05 INFO  tests.http | GET http://127.0.0.1:8000/api/analytics/campaigns/8 -> 200 (4 ms)
07:17:05 INFO  httpx | HTTP Request: POST http://127.0.0.1:8000/api/webhooks/delivery "HTTP/1.1 200 OK"
07:17:05 INFO  tests.http | POST http://127.0.0.1:8000/api/webhooks/delivery -> 200 (7 ms)
