07:13:45 INFO  httpx | HTTP Request: POST http://127.0.0.1:8000/api/campaigns "HTTP/1.1 201 Created"
07:13:45 INFO  tests.http | POST http://127.0.0.1:8000/api/campaigns -> 201 (21 ms)
07:13:45 INFO  httpx | HTTP Request: PATCH http://127.0.0.1:8000/api/campaigns/9 "HTTP/1.1 200 OK"
07:13:45 INFO  tests.http | PATCH http://127.0.0.1:8000/api/campaigns/9 -> 200 (13 ms)
07:13:45 INFO  httpx | HTTP Request: PATCH http://127.0.0.1:8000/api/campaigns/9 "HTTP/1.1 200 OK"
07:13:45 INFO  tests.http | PATCH http://127.0.0.1:8000/api/campaigns/9 -> 200 (12 ms)
07:13:45 INFO  httpx | HTTP Request: PATCH http://127.0.0.1:8000/api/campaigns/9 "HTTP/1.1 422 Unprocessable Content"
07:13:45 INFO  tests.http | PATCH http://127.0.0.1:8000/api/campaigns/9 -> 422 (7 ms)
07:13:45 INFO  httpx | HTTP Request: PATCH http://127.0.0.1:8000/api/campaigns/9 "HTTP/1.1 422 Unprocessable Content"
07:13:45 INFO  tests.http | PATCH http://127.0.0.1:8000/api/campaigns/9 -> 422 (8 ms)
07:13:45 INFO  httpx | HTTP Request: PATCH http://127.0.0.1:8000/api/campaigns/9 "HTTP/1.1 422 Unprocessable Content"
07:13:45 INFO  tests.http | PATCH http://127.0.0.1:8000/api/campaigns/9 -> 422 (153 ms)
07:13:45 INFO  httpx | HTTP Request: GET http://127.0.0.1:8000/api/campaigns/9 "HTTP/1.1 200 OK"
07:13:45 INFO  tests.http | GET http://127.0.0.1:8000/api/campaigns/9 -> 200 (10 ms)
