09:53:59 INFO  httpx | HTTP Request: GET http://127.0.0.1:8000/api/health "HTTP/1.1 200 OK"
09:54:01 INFO  httpx | HTTP Request: POST http://127.0.0.1:8000/api/auth/login "HTTP/1.1 200 OK"
09:54:01 INFO  tests.http | POST http://127.0.0.1:8000/api/auth/login -> 200 (329 ms)
09:54:01 INFO  httpx | HTTP Request: POST http://127.0.0.1:8000/api/contacts "HTTP/1.1 201 Created"
09:54:01 INFO  tests.http | POST http://127.0.0.1:8000/api/contacts -> 201 (35 ms)
09:54:01 INFO  httpx | HTTP Request: POST http://127.0.0.1:8000/api/contacts "HTTP/1.1 201 Created"
09:54:01 INFO  tests.http | POST http://127.0.0.1:8000/api/contacts -> 201 (18 ms)
09:54:01 INFO  httpx | HTTP Request: POST http://127.0.0.1:8000/api/segments "HTTP/1.1 201 Created"
09:54:01 INFO  tests.http | POST http://127.0.0.1:8000/api/segments -> 201 (29 ms)
09:54:01 INFO  httpx | HTTP Request: POST http://127.0.0.1:8000/api/campaigns "HTTP/1.1 201 Created"
09:54:01 INFO  tests.http | POST http://127.0.0.1:8000/api/campaigns -> 201 (25 ms)
09:54:01 INFO  httpx | HTTP Request: POST http://127.0.0.1:8000/api/campaigns/11/send "HTTP/1.1 202 Accepted"
09:54:01 INFO  tests.http | POST http://127.0.0.1:8000/api/campaigns/11/send -> 202 (32 ms)
09:54:01 INFO  httpx | HTTP Request: GET http://127.0.0.1:8000/api/campaigns/11/deliveries "HTTP/1.1 200 OK"
09:54:01 INFO  tests.http | GET http://127.0.0.1:8000/api/campaigns/11/deliveries -> 200 (16 ms)
09:54:02 INFO  httpx | HTTP Request: GET http://127.0.0.1:8000/api/campaigns/11/deliveries "HTTP/1.1 200 OK"
09:54:02 INFO  tests.http | GET http://127.0.0.1:8000/api/campaigns/11/deliveries -> 200 (15 ms)
09:54:02 INFO  httpx | HTTP Request: GET http://127.0.0.1:8000/api/campaigns/11/deliveries "HTTP/1.1 200 OK"
09:54:02 INFO  tests.http | GET http://127.0.0.1:8000/api/campaigns/11/deliveries -> 200 (6 ms)
09:54:02 INFO  httpx | HTTP Request: GET http://127.0.0.1:8000/api/campaigns/11/deliveries "HTTP/1.1 200 OK"
09:54:02 INFO  tests.http | GET http://127.0.0.1:8000/api/campaigns/11/deliveries -> 200 (5 ms)
09:54:02 INFO  httpx | HTTP Request: GET http://127.0.0.1:8000/api/campaigns/11/deliveries "HTTP/1.1 200 OK"
09:54:02 INFO  tests.http | GET http://127.0.0.1:8000/api/campaigns/11/deliveries -> 200 (6 ms)
09:54:03 INFO  httpx | HTTP Request: GET http://127.0.0.1:8000/api/campaigns/11/deliveries "HTTP/1.1 200 OK"
09:54:03 INFO  tests.http | GET http://127.0.0.1:8000/api/campaigns/11/deliveries -> 200 (5 ms)
09:54:03 INFO  httpx | HTTP Request: GET http://127.0.0.1:8000/api/campaigns/11/deliveries "HTTP/1.1 200 OK"
09:54:03 INFO  tests.http | GET http://127.0.0.1:8000/api/campaigns/11/deliveries -> 200 (10 ms)
09:54:03 INFO  httpx | HTTP Request: GET http://127.0.0.1:8000/api/campaigns/11/deliveries "HTTP/1.1 200 OK"
09:54:03 INFO  tests.http | GET http://127.0.0.1:8000/api/campaigns/11/deliveries -> 200 (6 ms)
09:54:03 INFO  httpx | HTTP Request: GET http://127.0.0.1:8000/api/campaigns/11/deliveries "HTTP/1.1 200 OK"
09:54:03 INFO  tests.http | GET http://127.0.0.1:8000/api/campaigns/11/deliveries -> 200 (6 ms)
09:54:03 INFO  httpx | HTTP Request: GET http://127.0.0.1:8000/api/analytics/campaigns/11 "HTTP/1.1 200 OK"
09:54:03 INFO  tests.http | GET http://127.0.0.1:8000/api/analytics/campaigns/11 -> 200 (10 ms)
09:54:03 INFO  httpx | HTTP Request: POST http://127.0.0.1:8000/api/webhooks/delivery "HTTP/1.1 200 OK"
09:54:03 INFO  tests.http | POST http://127.0.0.1:8000/api/webhooks/delivery -> 200 (14 ms)
09:54:03 INFO  httpx | HTTP Request: POST http://127.0.0.1:8000/api/webhooks/delivery "HTTP/1.1 200 OK"
09:54:03 INFO  tests.http | POST http://127.0.0.1:8000/api/webhooks/delivery -> 200 (8 ms)
09:54:03 INFO  httpx | HTTP Request: GET http://127.0.0.1:8000/api/analytics/campaigns/11 "HTTP/1.1 200 OK"
09:54:03 INFO  tests.http | GET http://127.0.0.1:8000/api/analytics/campaigns/11 -> 200 (6 ms)
09:54:03 INFO  httpx | HTTP Request: POST http://127.0.0.1:8000/api/webhooks/delivery "HTTP/1.1 200 OK"
09:54:03 INFO  tests.http | POST http://127.0.0.1:8000/api/webhooks/delivery -> 200 (9 ms)
09:54:03 INFO  httpx | HTTP Request: GET http://127.0.0.1:8000/api/analytics/campaigns/11 "HTTP/1.1 200 OK"
09:54:03 INFO  tests.http | GET http://127.0.0.1:8000/api/analytics/campaigns/11 -> 200 (6 ms)
09:54:03 INFO  httpx | HTTP Request: DELETE http://127.0.0.1:8000/api/contacts/61 "HTTP/1.1 409 Conflict"
09:54:03 INFO  tests.http | DELETE http://127.0.0.1:8000/api/contacts/61 -> 409 (11 ms)
09:54:03 INFO  httpx | HTTP Request: DELETE http://127.0.0.1:8000/api/contacts/64 "HTTP/1.1 409 Conflict"
09:54:03 INFO  tests.http | DELETE http://127.0.0.1:8000/api/contacts/64 -> 409 (6 ms)
