13:37:33 INFO  httpx | HTTP Request: GET http://127.0.0.1:8000/api/health "HTTP/1.1 200 OK"
13:37:35 INFO  httpx | HTTP Request: POST http://127.0.0.1:8000/api/auth/login "HTTP/1.1 200 OK"
13:37:35 INFO  tests.http | POST http://127.0.0.1:8000/api/auth/login -> 200 (341 ms)
13:37:35 INFO  httpx | HTTP Request: POST http://127.0.0.1:8000/api/contacts "HTTP/1.1 201 Created"
13:37:35 INFO  tests.http | POST http://127.0.0.1:8000/api/contacts -> 201 (16 ms)
13:37:35 INFO  httpx | HTTP Request: POST http://127.0.0.1:8000/api/contacts "HTTP/1.1 201 Created"
13:37:35 INFO  tests.http | POST http://127.0.0.1:8000/api/contacts -> 201 (19 ms)
13:37:36 INFO  httpx | HTTP Request: POST http://127.0.0.1:8000/api/segments "HTTP/1.1 201 Created"
13:37:36 INFO  tests.http | POST http://127.0.0.1:8000/api/segments -> 201 (26 ms)
13:37:36 INFO  httpx | HTTP Request: POST http://127.0.0.1:8000/api/campaigns "HTTP/1.1 201 Created"
13:37:36 INFO  tests.http | POST http://127.0.0.1:8000/api/campaigns -> 201 (24 ms)
13:37:36 INFO  httpx | HTTP Request: POST http://127.0.0.1:8000/api/campaigns/8/send "HTTP/1.1 202 Accepted"
13:37:36 INFO  tests.http | POST http://127.0.0.1:8000/api/campaigns/8/send -> 202 (142 ms)
13:37:36 INFO  httpx | HTTP Request: GET http://127.0.0.1:8000/api/campaigns/8/deliveries "HTTP/1.1 200 OK"
13:37:36 INFO  tests.http | GET http://127.0.0.1:8000/api/campaigns/8/deliveries -> 200 (18 ms)
13:37:36 INFO  httpx | HTTP Request: GET http://127.0.0.1:8000/api/campaigns/8/deliveries "HTTP/1.1 200 OK"
13:37:36 INFO  tests.http | GET http://127.0.0.1:8000/api/campaigns/8/deliveries -> 200 (14 ms)
13:37:36 INFO  httpx | HTTP Request: GET http://127.0.0.1:8000/api/campaigns/8/deliveries "HTTP/1.1 200 OK"
13:37:36 INFO  tests.http | GET http://127.0.0.1:8000/api/campaigns/8/deliveries -> 200 (6 ms)
13:37:37 INFO  httpx | HTTP Request: GET http://127.0.0.1:8000/api/campaigns/8/deliveries "HTTP/1.1 200 OK"
13:37:37 INFO  tests.http | GET http://127.0.0.1:8000/api/campaigns/8/deliveries -> 200 (8 ms)
13:37:37 INFO  httpx | HTTP Request: GET http://127.0.0.1:8000/api/campaigns/8/deliveries "HTTP/1.1 200 OK"
13:37:37 INFO  tests.http | GET http://127.0.0.1:8000/api/campaigns/8/deliveries -> 200 (6 ms)
13:37:37 INFO  httpx | HTTP Request: GET http://127.0.0.1:8000/api/campaigns/8/deliveries "HTTP/1.1 200 OK"
13:37:37 INFO  tests.http | GET http://127.0.0.1:8000/api/campaigns/8/deliveries -> 200 (8 ms)
13:37:37 INFO  httpx | HTTP Request: GET http://127.0.0.1:8000/api/campaigns/8/deliveries "HTTP/1.1 200 OK"
13:37:37 INFO  tests.http | GET http://127.0.0.1:8000/api/campaigns/8/deliveries -> 200 (6 ms)
13:37:38 INFO  httpx | HTTP Request: GET http://127.0.0.1:8000/api/campaigns/8/deliveries "HTTP/1.1 200 OK"
13:37:38 INFO  tests.http | GET http://127.0.0.1:8000/api/campaigns/8/deliveries -> 200 (6 ms)
13:37:38 INFO  httpx | HTTP Request: GET http://127.0.0.1:8000/api/campaigns/8/deliveries "HTTP/1.1 200 OK"
13:37:38 INFO  tests.http | GET http://127.0.0.1:8000/api/campaigns/8/deliveries -> 200 (6 ms)
13:37:38 INFO  httpx | HTTP Request: GET http://127.0.0.1:8000/api/analytics/campaigns/8 "HTTP/1.1 200 OK"
13:37:38 INFO  tests.http | GET http://127.0.0.1:8000/api/analytics/campaigns/8 -> 200 (5 ms)
13:37:38 INFO  httpx | HTTP Request: POST http://127.0.0.1:8000/api/webhooks/delivery "HTTP/1.1 200 OK"
13:37:38 INFO  tests.http | POST http://127.0.0.1:8000/api/webhooks/delivery -> 200 (9 ms)
13:37:38 INFO  httpx | HTTP Request: POST http://127.0.0.1:8000/api/webhooks/delivery "HTTP/1.1 200 OK"
13:37:38 INFO  tests.http | POST http://127.0.0.1:8000/api/webhooks/delivery -> 200 (6 ms)
13:37:38 INFO  httpx | HTTP Request: GET http://127.0.0.1:8000/api/analytics/campaigns/8 "HTTP/1.1 200 OK"
13:37:38 INFO  tests.http | GET http://127.0.0.1:8000/api/analytics/campaigns/8 -> 200 (4 ms)
13:37:38 INFO  httpx | HTTP Request: POST http://127.0.0.1:8000/api/webhooks/delivery "HTTP/1.1 200 OK"
13:37:38 INFO  tests.http | POST http://127.0.0.1:8000/api/webhooks/delivery -> 200 (6 ms)
13:37:38 INFO  httpx | HTTP Request: GET http://127.0.0.1:8000/api/analytics/campaigns/8 "HTTP/1.1 200 OK"
13:37:38 INFO  tests.http | GET http://127.0.0.1:8000/api/analytics/campaigns/8 -> 200 (4 ms)
13:37:38 INFO  httpx | HTTP Request: DELETE http://127.0.0.1:8000/api/contacts/62 "HTTP/1.1 500 Internal Server Error"
13:37:38 INFO  tests.http | DELETE http://127.0.0.1:8000/api/contacts/62 -> 500 (16 ms)
13:37:38 INFO  httpx | HTTP Request: DELETE http://127.0.0.1:8000/api/contacts/63 "HTTP/1.1 500 Internal Server Error"
13:37:38 INFO  tests.http | DELETE http://127.0.0.1:8000/api/contacts/63 -> 500 (17 ms)
