13:37:33 INFO  httpx | HTTP Request: GET http://127.0.0.1:8000/api/health "HTTP/1.1 200 OK"
13:37:33 INFO  tests.setup | Resetting database at http://127.0.0.1:8000
13:37:35 INFO  httpx | HTTP Request: POST http://127.0.0.1:8000/api/test/reset "HTTP/1.1 200 OK"
13:37:35 INFO  tests.setup | Database reset complete: {'tenants': 2, 'users': 6, 'contacts': 60, 'segments': 4, 'campaigns': 5, 'notifications': 3, 'surveys': 2, 'survey_responses': 5, 'deliveries': 15}
13:37:35 INFO  httpx | HTTP Request: POST http://127.0.0.1:8000/api/auth/login "HTTP/1.1 200 OK"
13:37:35 INFO  tests.http | POST http://127.0.0.1:8000/api/auth/login -> 200 (327 ms)
13:37:35 INFO  httpx | HTTP Request: POST http://127.0.0.1:8000/api/contacts "HTTP/1.1 201 Created"
13:37:35 INFO  tests.http | POST http://127.0.0.1:8000/api/contacts -> 201 (32 ms)
13:37:35 INFO  httpx | HTTP Request: DELETE http://127.0.0.1:8000/api/contacts/61 "HTTP/1.1 204 No Content"
13:37:35 INFO  tests.http | DELETE http://127.0.0.1:8000/api/contacts/61 -> 204 (16 ms)
13:37:35 INFO  httpx | HTTP Request: GET http://127.0.0.1:8000/api/contacts/61 "HTTP/1.1 404 Not Found"
13:37:35 INFO  tests.http | GET http://127.0.0.1:8000/api/contacts/61 -> 404 (7 ms)
13:37:35 INFO  httpx | HTTP Request: GET http://127.0.0.1:8000/api/contacts?q=contact.0035abe5%40qa.example.com "HTTP/1.1 200 OK"
13:37:35 INFO  tests.http | GET http://127.0.0.1:8000/api/contacts?q=contact.0035abe5%40qa.example.com -> 200 (19 ms)
