19:52:26 INFO  httpx | HTTP Request: GET http://127.0.0.1:8000/api/health "HTTP/1.1 200 OK"
19:52:28 INFO  httpx | HTTP Request: POST http://127.0.0.1:8000/api/auth/login "HTTP/1.1 200 OK"
19:52:28 INFO  tests.http | POST http://127.0.0.1:8000/api/auth/login -> 200 (273 ms)
19:52:28 INFO  httpx | HTTP Request: POST http://127.0.0.1:8000/api/contacts "HTTP/1.1 201 Created"
19:52:28 INFO  tests.http | POST http://127.0.0.1:8000/api/contacts -> 201 (27 ms)
19:52:28 INFO  httpx | HTTP Request: DELETE http://127.0.0.1:8000/api/contacts/62 "HTTP/1.1 204 No Content"
19:52:28 INFO  tests.http | DELETE http://127.0.0.1:8000/api/contacts/62 -> 204 (154 ms)
19:52:28 INFO  httpx | HTTP Request: GET http://127.0.0.1:8000/api/contacts/62 "HTTP/1.1 404 Not Found"
19:52:28 INFO  tests.http | GET http://127.0.0.1:8000/api/contacts/62 -> 404 (7 ms)
19:52:28 INFO  httpx | HTTP Request: GET http://127.0.0.1:8000/api/contacts?q=contact.1151a4cb%40qa.example.com "HTTP/1.1 200 OK"
19:52:28 INFO  tests.http | GET http://127.0.0.1:8000/api/contacts?q=contact.1151a4cb%40qa.example.com -> 200 (13 ms)
