07:22:40 INFO  httpx | HTTP Request: GET http://127.0.0.1:8000/api/health "HTTP/1.1 200 OK"
07:22:42 INFO  httpx | HTTP Request: POST http://127.0.0.1:8000/api/auth/login "HTTP/1.1 200 OK"
07:22:42 INFO  tests.http | POST http://127.0.0.1:8000/api/auth/login -> 200 (307 ms)
07:22:42 INFO  httpx | HTTP Request: POST http://127.0.0.1:8000/api/contacts "HTTP/1.1 201 Created"
07:22:42 INFO  tests.http | POST http://127.0.0.1:8000/api/contacts -> 201 (36 ms)
07:22:42 INFO  httpx | HTTP Request: DELETE http://127.0.0.1:8000/api/contacts/61 "HTTP/1.1 204 No Content"
07:22:42 INFO  tests.http | DELETE http://127.0.0.1:8000/api/contacts/61 -> 204 (29 ms)
07:22:42 INFO  httpx | HTTP Request: GET http://127.0.0.1:8000/api/contacts/61 "HTTP/1.1 404 Not Found"
07:22:42 INFO  tests.http | GET http://127.0.0.1:8000/api/contacts/61 -> 404 (11 ms)
07:22:42 INFO  httpx | HTTP Request: GET http://127.0.0.1:8000/api/contacts?q=contact.5617f238%40qa.example.com "HTTP/1.1 200 OK"
07:22:42 INFO  tests.http | GET http://127.0.0.1:8000/api/contacts?q=contact.5617f238%40qa.example.com -> 200 (21 ms)
