07:17:22 INFO  httpx | HTTP Request: GET http://127.0.0.1:8000/api/health "HTTP/1.1 200 OK"
07:17:25 INFO  httpx | HTTP Request: POST http://127.0.0.1:8000/api/auth/login "HTTP/1.1 200 OK"
07:17:25 INFO  tests.http | POST http://127.0.0.1:8000/api/auth/login -> 200 (334 ms)
07:17:25 INFO  httpx | HTTP Request: POST http://127.0.0.1:8000/api/contacts "HTTP/1.1 201 Created"
07:17:25 INFO  tests.http | POST http://127.0.0.1:8000/api/contacts -> 201 (27 ms)
07:17:25 INFO  httpx | HTTP Request: POST http://127.0.0.1:8000/api/contacts "HTTP/1.1 201 Created"
07:17:25 INFO  tests.http | POST http://127.0.0.1:8000/api/contacts -> 201 (28 ms)
07:17:25 INFO  httpx | HTTP Request: POST http://127.0.0.1:8000/api/segments "HTTP/1.1 201 Created"
07:17:25 INFO  tests.http | POST http://127.0.0.1:8000/api/segments -> 201 (25 ms)
07:17:25 INFO  httpx | HTTP Request: POST http://127.0.0.1:8000/api/campaigns "HTTP/1.1 201 Created"
07:17:25 INFO  tests.http | POST http://127.0.0.1:8000/api/campaigns -> 201 (137 ms)
07:17:25 INFO  httpx | HTTP Request: POST http://127.0.0.1:8000/api/campaigns/8/send "HTTP/1.1 202 Accepted"
07:17:25 INFO  tests.http | POST http://127.0.0.1:8000/api/campaigns/8/send -> 202 (29 ms)
07:17:25 INFO  httpx | HTTP Request: GET http://127.0.0.1:8000/api/campaigns/8/deliveries "HTTP/1.1 200 OK"
07:17:25 INFO  tests.http | GET http://127.0.0.1:8000/api/campaigns/8/deliveries -> 200 (14 ms)
07:17:25 INFO  httpx | HTTP Request: GET http://127.0.0.1:8000/api/campaigns/8/deliveries "HTTP/1.1 200 OK"
07:17:25 INFO  tests.http | GET http://127.0.0.1:8000/api/campaigns/8/deliveries -> 200 (7 ms)
07:17:26 INFO  httpx | HTTP Request: GET http://127.0.0.1:8000/api/campaigns/8/deliveries "HTTP/1.1 200 OK"
07:17:26 INFO  tests.http | GET http://127.0.0.1:8000/api/campaigns/8/deliveries -> 200 (6 ms)
07:17:26 INFO  httpx | HTTP Request: GET http://127.0.0.1:8000/api/campaigns/8/deliveries "HTTP/1.1 200 OK"
07:17:26 INFO  tests.http | GET http://127.0.0.1:8000/api/campaigns/8/deliveries -> 200 (6 ms)
07:17:26 INFO  httpx | HTTP Request: GET http://127.0.0.1:8000/api/campaigns/8/deliveries "HTTP/1.1 200 OK"
07:17:26 INFO  tests.http | GET http://127.0.0.1:8000/api/campaigns/8/deliveries -> 200 (6 ms)
07:17:26 INFO  httpx | HTTP Request: GET http://127.0.0.1:8000/api/campaigns/8/deliveries "HTTP/1.1 200 OK"
07:17:26 INFO  tests.http | GET http://127.0.0.1:8000/api/campaigns/8/deliveries -> 200 (6 ms)
07:17:27 INFO  httpx | HTTP Request: GET http://127.0.0.1:8000/api/campaigns/8/deliveries "HTTP/1.1 200 OK"
07:17:27 INFO  tests.http | GET http://127.0.0.1:8000/api/campaigns/8/deliveries -> 200 (6 ms)
07:17:27 INFO  httpx | HTTP Request: GET http://127.0.0.1:8000/api/campaigns/8/deliveries "HTTP/1.1 200 OK"
07:17:27 INFO  tests.http | GET http://127.0.0.1:8000/api/campaigns/8/deliveries -> 200 (6 ms)
07:17:27 INFO  httpx | HTTP Request: GET http://127.0.0.1:8000/api/campaigns/8/deliveries "HTTP/1.1 200 OK"
07:17:27 INFO  tests.http | GET http://127.0.0.1:8000/api/campaigns/8/deliveries -> 200 (6 ms)
07:17:27 INFO  httpx | HTTP Request: GET http://127.0.0.1:8000/api/analytics/campaigns/8 "HTTP/1.1 200 OK"
07:17:27 INFO  tests.http | GET http://127.0.0.1:8000/api/analytics/campaigns/8 -> 200 (9 ms)
07:17:27 INFO  httpx | HTTP Request: POST http://127.0.0.1:8000/api/webhooks/delivery "HTTP/1.1 200 OK"
07:17:27 INFO  tests.http | POST http://127.0.0.1:8000/api/webhooks/delivery -> 200 (14 ms)
07:17:27 INFO  httpx | HTTP Request: POST http://127.0.0.1:8000/api/webhooks/delivery "HTTP/1.1 200 OK"
07:17:27 INFO  tests.http | POST http://127.0.0.1:8000/api/webhooks/delivery -> 200 (9 ms)
07:17:27 INFO  httpx | HTTP Request: GET http://127.0.0.1:8000/api/analytics/campaigns/8 "HTTP/1.1 200 OK"
07:17:27 INFO  tests.http | GET http://127.0.0.1:8000/api/analytics/campaigns/8 -> 200 (7 ms)
07:17:27 INFO  httpx | HTTP Request: POST http://127.0.0.1:8000/api/webhooks/delivery "HTTP/1.1 200 OK"
07:17:27 INFO  tests.http | POST http://127.0.0.1:8000/api/webhooks/delivery -> 200 (9 ms)
07:17:27 INFO  httpx | HTTP Request: GET http://127.0.0.1:8000/api/analytics/campaigns/8 "HTTP/1.1 200 OK"
07:17:27 INFO  tests.http | GET http://127.0.0.1:8000/api/analytics/campaigns/8 -> 200 (6 ms)
07:17:27 INFO  httpx | HTTP Request: DELETE http://127.0.0.1:8000/api/contacts/61 "HTTP/1.1 409 Conflict"
07:17:27 INFO  tests.http | DELETE http://127.0.0.1:8000/api/contacts/61 -> 409 (8 ms)
07:17:27 INFO  httpx | HTTP Request: DELETE http://127.0.0.1:8000/api/contacts/62 "HTTP/1.1 409 Conflict"
07:17:27 INFO  tests.http | DELETE http://127.0.0.1:8000/api/contacts/62 -> 409 (8 ms)
