11:37:45 INFO  httpx | HTTP Request: GET http://127.0.0.1:8000/api/health "HTTP/1.1 200 OK"
11:37:45 INFO  tests.setup | Resetting database at http://127.0.0.1:8000
11:37:47 INFO  httpx | HTTP Request: POST http://127.0.0.1:8000/api/test/reset "HTTP/1.1 200 OK"
11:37:47 INFO  tests.setup | Database reset complete: {'tenants': 2, 'users': 6, 'contacts': 60, 'segments': 4, 'campaigns': 5, 'notifications': 3, 'surveys': 2, 'survey_responses': 5, 'deliveries': 15}
11:37:47 INFO  httpx | HTTP Request: POST http://127.0.0.1:8000/api/auth/login "HTTP/1.1 200 OK"
11:37:47 INFO  tests.http | POST http://127.0.0.1:8000/api/auth/login -> 200 (322 ms)
11:37:47 INFO  httpx | HTTP Request: POST http://127.0.0.1:8000/api/contacts "HTTP/1.1 201 Created"
11:37:47 INFO  tests.http | POST http://127.0.0.1:8000/api/contacts -> 201 (26 ms)
11:37:47 INFO  httpx | HTTP Request: POST http://127.0.0.1:8000/api/contacts "HTTP/1.1 201 Created"
11:37:47 INFO  tests.http | POST http://127.0.0.1:8000/api/contacts -> 201 (10 ms)
11:37:48 INFO  httpx | HTTP Request: POST http://127.0.0.1:8000/api/segments "HTTP/1.1 201 Created"
11:37:48 INFO  tests.http | POST http://127.0.0.1:8000/api/segments -> 201 (17 ms)
11:37:48 INFO  httpx | HTTP Request: POST http://127.0.0.1:8000/api/campaigns "HTTP/1.1 201 Created"
11:37:48 INFO  tests.http | POST http://127.0.0.1:8000/api/campaigns -> 201 (19 ms)
11:37:48 INFO  httpx | HTTP Request: POST http://127.0.0.1:8000/api/campaigns/8/send "HTTP/1.1 202 Accepted"
11:37:48 INFO  tests.http | POST http://127.0.0.1:8000/api/campaigns/8/send -> 202 (24 ms)
11:37:48 INFO  httpx | HTTP Request: GET http://127.0.0.1:8000/api/campaigns/8/deliveries "HTTP/1.1 200 OK"
11:37:48 INFO  tests.http | GET http://127.0.0.1:8000/api/campaigns/8/deliveries -> 200 (15 ms)
11:37:48 INFO  httpx | HTTP Request: GET http://127.0.0.1:8000/api/campaigns/8/deliveries "HTTP/1.1 200 OK"
11:37:48 INFO  tests.http | GET http://127.0.0.1:8000/api/campaigns/8/deliveries -> 200 (25 ms)
11:37:48 INFO  httpx | HTTP Request: GET http://127.0.0.1:8000/api/campaigns/8/deliveries "HTTP/1.1 200 OK"
11:37:48 INFO  tests.http | GET http://127.0.0.1:8000/api/campaigns/8/deliveries -> 200 (9 ms)
11:37:48 INFO  httpx | HTTP Request: GET http://127.0.0.1:8000/api/campaigns/8/deliveries "HTTP/1.1 200 OK"
11:37:48 INFO  tests.http | GET http://127.0.0.1:8000/api/campaigns/8/deliveries -> 200 (6 ms)
11:37:49 INFO  httpx | HTTP Request: GET http://127.0.0.1:8000/api/campaigns/8/deliveries "HTTP/1.1 200 OK"
11:37:49 INFO  tests.http | GET http://127.0.0.1:8000/api/campaigns/8/deliveries -> 200 (6 ms)
11:37:49 INFO  httpx | HTTP Request: GET http://127.0.0.1:8000/api/campaigns/8/deliveries "HTTP/1.1 200 OK"
11:37:49 INFO  tests.http | GET http://127.0.0.1:8000/api/campaigns/8/deliveries -> 200 (6 ms)
11:37:49 INFO  httpx | HTTP Request: GET http://127.0.0.1:8000/api/campaigns/8/deliveries "HTTP/1.1 200 OK"
11:37:49 INFO  tests.http | GET http://127.0.0.1:8000/api/campaigns/8/deliveries -> 200 (6 ms)
11:37:49 INFO  httpx | HTTP Request: GET http://127.0.0.1:8000/api/campaigns/8/deliveries "HTTP/1.1 200 OK"
11:37:49 INFO  tests.http | GET http://127.0.0.1:8000/api/campaigns/8/deliveries -> 200 (6 ms)
11:37:50 INFO  httpx | HTTP Request: GET http://127.0.0.1:8000/api/campaigns/8/deliveries "HTTP/1.1 200 OK"
