07:17:25 INFO  httpx | HTTP Request: POST http://127.0.0.1:8000/api/campaigns "HTTP/1.1 201 Created"
07:17:25 INFO  tests.http | POST http://127.0.0.1:8000/api/campaigns -> 201 (10 ms)
07:17:25 INFO  httpx | HTTP Request: PATCH http://127.0.0.1:8000/api/campaigns/10 "HTTP/1.1 200 OK"
07:17:25 INFO  tests.http | PATCH http://127.0.0.1:8000/api/campaigns/10 -> 200 (24 ms)
07:17:25 INFO  httpx | HTTP Request: PATCH http://127.0.0.1:8000/api/campaigns/10 "HTTP/1.1 200 OK"
07:17:25 INFO  tests.http | PATCH http://127.0.0.1:8000/api/campaigns/10 -> 200 (24 ms)
07:17:25 INFO  httpx | HTTP Request: PATCH http://127.0.0.1:8000/api/campaigns/10 "HTTP/1.1 422 Unprocessable Content"
07:17:25 INFO  tests.http | PATCH http://127.0.0.1:8000/api/campaigns/10 -> 422 (11 ms)
07:17:25 INFO  httpx | HTTP Request: PATCH http://127.0.0.1:8000/api/campaigns/10 "HTTP/1.1 422 Unprocessable Content"
07:17:25 INFO  tests.http | PATCH http://127.0.0.1:8000/api/campaigns/10 -> 422 (10 ms)
07:17:25 INFO  httpx | HTTP Request: PATCH http://127.0.0.1:8000/api/campaigns/10 "HTTP/1.1 422 Unprocessable Content"
07:17:25 INFO  tests.http | PATCH http://127.0.0.1:8000/api/campaigns/10 -> 422 (7 ms)
07:17:25 INFO  httpx | HTTP Request: GET http://127.0.0.1:8000/api/campaigns/10 "HTTP/1.1 200 OK"
07:17:25 INFO  tests.http | GET http://127.0.0.1:8000/api/campaigns/10 -> 200 (5 ms)
