07:13:43 INFO  httpx | HTTP Request: GET http://127.0.0.1:8000/api/health "HTTP/1.1 200 OK"
07:13:45 INFO  httpx | HTTP Request: POST http://127.0.0.1:8000/api/auth/login "HTTP/1.1 200 OK"
07:13:45 INFO  tests.http | POST http://127.0.0.1:8000/api/auth/login -> 200 (294 ms)
07:13:45 INFO  httpx | HTTP Request: POST http://127.0.0.1:8000/api/contacts "HTTP/1.1 201 Created"
07:13:45 INFO  tests.http | POST http://127.0.0.1:8000/api/contacts -> 201 (36 ms)
07:13:45 INFO  httpx | HTTP Request: POST http://127.0.0.1:8000/api/contacts "HTTP/1.1 201 Created"
07:13:45 INFO  tests.http | POST http://127.0.0.1:8000/api/contacts -> 201 (20 ms)
07:13:45 INFO  httpx | HTTP Request: POST http://127.0.0.1:8000/api/segments "HTTP/1.1 201 Created"
07:13:45 INFO  tests.http | POST http://127.0.0.1:8000/api/segments -> 201 (26 ms)
07:13:45 INFO  httpx | HTTP Request: POST http://127.0.0.1:8000/api/campaigns "HTTP/1.1 201 Created"
07:13:45 INFO  tests.http | POST http://127.0.0.1:8000/api/campaigns -> 201 (21 ms)
07:13:45 INFO  httpx | HTTP Request: POST http://127.0.0.1:8000/api/campaigns/10/send "HTTP/1.1 202 Accepted"
07:13:45 INFO  tests.http | POST http://127.0.0.1:8000/api/campaigns/10/send -> 202 (156 ms)
07:13:45 INFO  httpx | HTTP Request: GET http://127.0.0.1:8000/api/campaigns/10/deliveries "HTTP/1.1 200 OK"
07:13:45 INFO  tests.http | GET http://127.0.0.1:8000/api/campaigns/10/deliveries -> 200 (16 ms)
07:13:45 INFO  httpx | HTTP Request: GET http://127.0.0.1:8000/api/campaigns/10/deliveries "HTTP/1.1 200 OK"
07:13:45 INFO  tests.http | GET http://127.0.0.1:8000/api/campaigns/10/deliveries -> 200 (5 ms)
07:13:46 INFO  httpx | HTTP Request: GET http://127.0.0.1:8000/api/campaigns/10/deliveries "HTTP/1.1 200 OK"
07:13:46 INFO  tests.http | GET http://127.0.0.1:8000/api/campaigns/10/deliveries -> 200 (5 ms)
07:13:46 INFO  httpx | HTTP Request: GET http://127.0.0.1:8000/api/campaigns/10/deliveries "HTTP/1.1 200 OK"
07:13:46 INFO  tests.http | GET http://127.0.0.1:8000/api/campaigns/10/deliveries -> 200 (5 ms)
07:13:46 INFO  httpx | HTTP Request: GET http://127.0.0.1:8000/api/campaigns/10/deliveries "HTTP/1.1 200 OK"
07:13:46 INFO  tests.http | GET http://127.0.0.1:8000/api/campaigns/10/deliveries -> 200 (5 ms)
07:13:46 INFO  httpx | HTTP Request: GET http://127.0.0.1:8000/api/campaigns/10/deliveries "HTTP/1.1 200 OK"
07:13:46 INFO  tests.http | GET http://127.0.0.1:8000/api/campaigns/10/deliveries -> 200 (5 ms)
07:13:47 INFO  httpx | HTTP Request: GET http://127.0.0.1:8000/api/campaigns/10/deliveries "HTTP/1.1 200 OK"
07:13:47 INFO  tests.http | GET http://127.0.0.1:8000/api/campaigns/10/deliveries -> 200 (5 ms)
07:13:47 INFO  httpx | HTTP Request: GET http://127.0.0.1:8000/api/campaigns/10/deliveries "HTTP/1.1 200 OK"
07:13:47 INFO  tests.http | GET http://127.0.0.1:8000/api/campaigns/10/deliveries -> 200 (5 ms)
07:13:47 INFO  httpx | HTTP Request: GET http://127.0.0.1:8000/api/campaigns/10/deliveries "HTTP/1.1 200 OK"
07:13:47 INFO  tests.http | GET http://127.0.0.1:8000/api/campaigns/10/deliveries -> 200 (5 ms)
07:13:47 INFO  httpx | HTTP Request: GET http://127.0.0.1:8000/api/analytics/campaigns/10 "HTTP/1.1 200 OK"
07:13:47 INFO  tests.http | GET http://127.0.0.1:8000/api/analytics/campaigns/10 -> 200 (5 ms)
07:13:47 INFO  httpx | HTTP Request: POST http://127.0.0.1:8000/api/webhooks/delivery "HTTP/1.1 200 OK"
07:13:47 INFO  tests.http | POST http://127.0.0.1:8000/api/webhooks/delivery -> 200 (10 ms)
07:13:47 INFO  httpx | HTTP Request: POST http://127.0.0.1:8000/api/webhooks/delivery "HTTP/1.1 200 OK"
07:13:47 INFO  tests.http | POST http://127.0.0.1:8000/api/webhooks/delivery -> 200 (7 ms)
07:13:47 INFO  httpx | HTTP Request: GET http://127.0.0.1:8000/api/analytics/campaigns/10 "HTTP/1.1 200 OK"
07:13:47 INFO  tests.http | GET http://127.0.0.1:8000/api/analytics/campaigns/10 -> 200 (6 ms)
07:13:47 INFO  httpx | HTTP Request: POST http://127.0.0.1:8000/api/webhooks/delivery "HTTP/1.1 200 OK"
07:13:47 INFO  tests.http | POST http://127.0.0.1:8000/api/webhooks/delivery -> 200 (8 ms)
07:13:47 INFO  httpx | HTTP Request: GET http://127.0.0.1:8000/api/analytics/campaigns/10 "HTTP/1.1 200 OK"
07:13:47 INFO  tests.http | GET http://127.0.0.1:8000/api/analytics/campaigns/10 -> 200 (7 ms)
07:13:47 INFO  httpx | HTTP Request: DELETE http://127.0.0.1:8000/api/contacts/61 "HTTP/1.1 409 Conflict"
07:13:47 INFO  tests.http | DELETE http://127.0.0.1:8000/api/contacts/61 -> 409 (7 ms)
07:13:47 INFO  httpx | HTTP Request: DELETE http://127.0.0.1:8000/api/contacts/62 "HTTP/1.1 409 Conflict"
07:13:47 INFO  tests.http | DELETE http://127.0.0.1:8000/api/contacts/62 -> 409 (7 ms)
