07:17:08 INFO  httpx | HTTP Request: POST http://127.0.0.1:8000/api/notifications "HTTP/1.1 201 Created"
07:17:08 INFO  tests.http | POST http://127.0.0.1:8000/api/notifications -> 201 (21 ms)
07:17:08 INFO  httpx | HTTP Request: PATCH http://127.0.0.1:8000/api/notifications/7 "HTTP/1.1 200 OK"
07:17:08 INFO  tests.http | PATCH http://127.0.0.1:8000/api/notifications/7 -> 200 (6 ms)
07:17:08 INFO  httpx | HTTP Request: POST http://127.0.0.1:8000/api/contacts "HTTP/1.1 201 Created"
07:17:08 INFO  tests.http | POST http://127.0.0.1:8000/api/contacts -> 201 (5 ms)
07:17:08 INFO  httpx | HTTP Request: POST http://127.0.0.1:8000/api/notifications/7/impressions?contact_id=113 "HTTP/1.1 201 Created"
07:17:08 INFO  tests.http | POST http://127.0.0.1:8000/api/notifications/7/impressions?contact_id=113 -> 201 (6 ms)
07:17:08 INFO  httpx | HTTP Request: POST http://127.0.0.1:8000/api/notifications/7/impressions?contact_id=113 "HTTP/1.1 201 Created"
07:17:08 INFO  tests.http | POST http://127.0.0.1:8000/api/notifications/7/impressions?contact_id=113 -> 201 (6 ms)
07:17:08 INFO  httpx | HTTP Request: POST http://127.0.0.1:8000/api/notifications/7/impressions?contact_id=113 "HTTP/1.1 201 Created"
07:17:08 INFO  tests.http | POST http://127.0.0.1:8000/api/notifications/7/impressions?contact_id=113 -> 201 (6 ms)
07:17:08 INFO  httpx | HTTP Request: GET http://127.0.0.1:8000/api/notifications/7/eligibility?contact_id=113 "HTTP/1.1 200 OK"
07:17:08 INFO  tests.http | GET http://127.0.0.1:8000/api/notifications/7/eligibility?contact_id=113 -> 200 (5 ms)
