10:44:05 INFO  httpx | HTTP Request: POST http://127.0.0.1:8000/api/notifications "HTTP/1.1 201 Created"
10:44:05 INFO  tests.http | POST http://127.0.0.1:8000/api/notifications -> 201 (23 ms)
10:44:05 INFO  httpx | HTTP Request: PATCH http://127.0.0.1:8000/api/notifications/7 "HTTP/1.1 200 OK"
10:44:05 INFO  tests.http | PATCH http://127.0.0.1:8000/api/notifications/7 -> 200 (15 ms)
10:44:05 INFO  httpx | HTTP Request: POST http://127.0.0.1:8000/api/contacts "HTTP/1.1 201 Created"
10:44:05 INFO  tests.http | POST http://127.0.0.1:8000/api/contacts -> 201 (16 ms)
10:44:05 INFO  httpx | HTTP Request: POST http://127.0.0.1:8000/api/notifications/7/impressions?contact_id=128 "HTTP/1.1 201 Created"
10:44:05 INFO  tests.http | POST http://127.0.0.1:8000/api/notifications/7/impressions?contact_id=128 -> 201 (8 ms)
10:44:05 INFO  httpx | HTTP Request: POST http://127.0.0.1:8000/api/notifications/7/impressions?contact_id=128 "HTTP/1.1 201 Created"
10:44:05 INFO  tests.http | POST http://127.0.0.1:8000/api/notifications/7/impressions?contact_id=128 -> 201 (8 ms)
10:44:05 INFO  httpx | HTTP Request: POST http://127.0.0.1:8000/api/notifications/7/impressions?contact_id=128 "HTTP/1.1 201 Created"
10:44:05 INFO  tests.http | POST http://127.0.0.1:8000/api/notifications/7/impressions?contact_id=128 -> 201 (7 ms)
10:44:05 INFO  httpx | HTTP Request: GET http://127.0.0.1:8000/api/notifications/7/eligibility?contact_id=128 "HTTP/1.1 200 OK"
10:44:05 INFO  tests.http | GET http://127.0.0.1:8000/api/notifications/7/eligibility?contact_id=128 -> 200 (6 ms)
