10:44:00 INFO  httpx | HTTP Request: POST http://127.0.0.1:8000/api/contacts "HTTP/1.1 201 Created"
10:44:00 INFO  tests.http | POST http://127.0.0.1:8000/api/contacts -> 201 (7 ms)
10:44:00 INFO  httpx | HTTP Request: GET http://127.0.0.1:8000/api/contacts?q=Genevieve "HTTP/1.1 200 OK"
10:44:00 INFO  tests.http | GET http://127.0.0.1:8000/api/contacts?q=Genevieve -> 200 (7 ms)
10:44:00 INFO  httpx | HTTP Request: GET http://127.0.0.1:8000/api/contacts?q=genevieve "HTTP/1.1 200 OK"
10:44:00 INFO  tests.http | GET http://127.0.0.1:8000/api/contacts?q=genevieve -> 200 (6 ms)
10:44:00 INFO  httpx | HTTP Request: GET http://127.0.0.1:8000/api/contacts?q=GENEV "HTTP/1.1 200 OK"
10:44:00 INFO  tests.http | GET http://127.0.0.1:8000/api/contacts?q=GENEV -> 200 (7 ms)
10:44:00 INFO  httpx | HTTP Request: GET http://127.0.0.1:8000/api/contacts?q=contact.4cc4dd10%40qa.example.com "HTTP/1.1 200 OK"
10:44:00 INFO  tests.http | GET http://127.0.0.1:8000/api/contacts?q=contact.4cc4dd10%40qa.example.com -> 200 (9 ms)
10:44:00 INFO  httpx | HTTP Request: DELETE http://127.0.0.1:8000/api/contacts/74 "HTTP/1.1 204 No Content"
10:44:00 INFO  tests.http | DELETE http://127.0.0.1:8000/api/contacts/74 -> 204 (7 ms)
