07:33:45 INFO  httpx | HTTP Request: POST http://127.0.0.1:8000/api/campaigns "HTTP/1.1 201 Created"
07:33:45 INFO  tests.http | POST http://127.0.0.1:8000/api/campaigns -> 201 (14 ms)
07:33:45 INFO  httpx | HTTP Request: PATCH http://127.0.0.1:8000/api/campaigns/11 "HTTP/1.1 200 OK"
07:33:45 INFO  tests.http | PATCH http://127.0.0.1:8000/api/campaigns/11 -> 200 (17 ms)
07:33:45 INFO  httpx | HTTP Request: PATCH http://127.0.0.1:8000/api/campaigns/11 "HTTP/1.1 200 OK"
07:33:45 INFO  tests.http | PATCH http://127.0.0.1:8000/api/campaigns/11 -> 200 (14 ms)
07:33:45 INFO  httpx | HTTP Request: PATCH http://127.0.0.1:8000/api/campaigns/11 "HTTP/1.1 422 Unprocessable Content"
07:33:45 INFO  tests.http | PATCH http://127.0.0.1:8000/api/campaigns/11 -> 422 (9 ms)
07:33:45 INFO  httpx | HTTP Request: PATCH http://127.0.0.1:8000/api/campaigns/11 "HTTP/1.1 422 Unprocessable Content"
07:33:45 INFO  tests.http | PATCH http://127.0.0.1:8000/api/campaigns/11 -> 422 (13 ms)
07:33:45 INFO  httpx | HTTP Request: PATCH http://127.0.0.1:8000/api/campaigns/11 "HTTP/1.1 422 Unprocessable Content"
07:33:45 INFO  tests.http | PATCH http://127.0.0.1:8000/api/campaigns/11 -> 422 (9 ms)
07:33:45 INFO  httpx | HTTP Request: GET http://127.0.0.1:8000/api/campaigns/11 "HTTP/1.1 200 OK"
07:33:45 INFO  tests.http | GET http://127.0.0.1:8000/api/campaigns/11 -> 200 (10 ms)
