11:02:36 INFO  httpx | HTTP Request: POST http://127.0.0.1:8000/api/contacts "HTTP/1.1 201 Created"
11:02:36 INFO  tests.http | POST http://127.0.0.1:8000/api/contacts -> 201 (7 ms)
11:02:36 INFO  httpx | HTTP Request: GET http://127.0.0.1:8000/api/contacts?q=Genevieve "HTTP/1.1 200 OK"
11:02:36 INFO  tests.http | GET http://127.0.0.1:8000/api/contacts?q=Genevieve -> 200 (5 ms)
11:02:36 INFO  httpx | HTTP Request: GET http://127.0.0.1:8000/api/contacts?q=genevieve "HTTP/1.1 200 OK"
11:02:36 INFO  tests.http | GET http://127.0.0.1:8000/api/contacts?q=genevieve -> 200 (6 ms)
11:02:36 INFO  httpx | HTTP Request: GET http://127.0.0.1:8000/api/contacts?q=GENEV "HTTP/1.1 200 OK"
11:02:36 INFO  tests.http | GET http://127.0.0.1:8000/api/contacts?q=GENEV -> 200 (6 ms)
11:02:36 INFO  httpx | HTTP Request: GET http://127.0.0.1:8000/api/contacts?q=contact.89e1ea73%40qa.example.com "HTTP/1.1 200 OK"
11:02:36 INFO  tests.http | GET http://127.0.0.1:8000/api/contacts?q=contact.89e1ea73%40qa.example.com -> 200 (6 ms)
11:02:36 INFO  httpx | HTTP Request: DELETE http://127.0.0.1:8000/api/contacts/74 "HTTP/1.1 204 No Content"
11:02:36 INFO  tests.http | DELETE http://127.0.0.1:8000/api/contacts/74 -> 204 (6 ms)
