12:09:39 INFO  httpx | HTTP Request: GET http://127.0.0.1:8000/api/health "HTTP/1.1 200 OK"
12:09:41 INFO  httpx | HTTP Request: POST http://127.0.0.1:8000/api/auth/login "HTTP/1.1 200 OK"
12:09:41 INFO  tests.http | POST http://127.0.0.1:8000/api/auth/login -> 200 (254 ms)
12:09:41 INFO  httpx | HTTP Request: POST http://127.0.0.1:8000/api/contacts "HTTP/1.1 201 Created"
12:09:41 INFO  tests.http | POST http://127.0.0.1:8000/api/contacts -> 201 (19 ms)
12:09:41 INFO  httpx | HTTP Request: POST http://127.0.0.1:8000/api/contacts "HTTP/1.1 201 Created"
12:09:41 INFO  tests.http | POST http://127.0.0.1:8000/api/contacts -> 201 (19 ms)
12:09:41 INFO  httpx | HTTP Request: POST http://127.0.0.1:8000/api/segments "HTTP/1.1 201 Created"
12:09:41 INFO  tests.http | POST http://127.0.0.1:8000/api/segments -> 201 (17 ms)
12:09:41 INFO  httpx | HTTP Request: POST http://127.0.0.1:8000/api/campaigns "HTTP/1.1 201 Created"
12:09:41 INFO  tests.http | POST http://127.0.0.1:8000/api/campaigns -> 201 (22 ms)
12:09:41 INFO  httpx | HTTP Request: POST http://127.0.0.1:8000/api/campaigns/10/send "HTTP/1.1 202 Accepted"
12:09:41 INFO  tests.http | POST http://127.0.0.1:8000/api/campaigns/10/send -> 202 (19 ms)
12:09:41 INFO  httpx | HTTP Request: GET http://127.0.0.1:8000/api/campaigns/10/deliveries "HTTP/1.1 200 OK"
12:09:41 INFO  tests.http | GET http://127.0.0.1:8000/api/campaigns/10/deliveries -> 200 (19 ms)
12:09:41 INFO  httpx | HTTP Request: GET http://127.0.0.1:8000/api/campaigns/10/deliveries "HTTP/1.1 200 OK"
12:09:41 INFO  tests.http | GET http://127.0.0.1:8000/api/campaigns/10/deliveries -> 200 (13 ms)
12:09:41 INFO  httpx | HTTP Request: GET http://127.0.0.1:8000/api/campaigns/10/deliveries "HTTP/1.1 200 OK"
12:09:41 INFO  tests.http | GET http://127.0.0.1:8000/api/campaigns/10/deliveries -> 200 (4 ms)
12:09:42 INFO  httpx | HTTP Request: GET http://127.0.0.1:8000/api/campaigns/10/deliveries "HTTP/1.1 200 OK"
12:09:42 INFO  tests.http | GET http://127.0.0.1:8000/api/campaigns/10/deliveries -> 200 (4 ms)
12:09:42 INFO  httpx | HTTP Request: GET http://127.0.0.1:8000/api/campaigns/10/deliveries "HTTP/1.1 200 OK"
12:09:42 INFO  tests.http | GET http://127.0.0.1:8000/api/campaigns/10/deliveries -> 200 (4 ms)
12:09:42 INFO  httpx | HTTP Request: GET http://127.0.0.1:8000/api/campaigns/10/deliveries "HTTP/1.1 200 OK"
12:09:42 INFO  tests.http | GET http://127.0.0.1:8000/api/campaigns/10/deliveries -> 200 (4 ms)
12:09:42 INFO  httpx | HTTP Request: GET http://127.0.0.1:8000/api/campaigns/10/deliveries "HTTP/1.1 200 OK"
12:09:42 INFO  tests.http | GET http://127.0.0.1:8000/api/campaigns/10/deliveries -> 200 (5 ms)
12:09:43 INFO  httpx | HTTP Request: GET http://127.0.0.1:8000/api/campaigns/10/deliveries "HTTP/1.1 200 OK"
12:09:43 INFO  tests.http | GET http://127.0.0.1:8000/api/campaigns/10/deliveries -> 200 (4 ms)
12:09:43 INFO  httpx | HTTP Request: GET http://127.0.0.1:8000/api/campaigns/10/deliveries "HTTP/1.1 200 OK"
12:09:43 INFO  tests.http | GET http://127.0.0.1:8000/api/campaigns/10/deliveries -> 200 (4 ms)
12:09:43 INFO  httpx | HTTP Request: GET http://127.0.0.1:8000/api/analytics/campaigns/10 "HTTP/1.1 200 OK"
12:09:43 INFO  tests.http | GET http://127.0.0.1:8000/api/analytics/campaigns/10 -> 200 (4 ms)
12:09:43 INFO  httpx | HTTP Request: POST http://127.0.0.1:8000/api/webhooks/delivery "HTTP/1.1 200 OK"
12:09:43 INFO  tests.http | POST http://127.0.0.1:8000/api/webhooks/delivery -> 200 (7 ms)
12:09:43 INFO  httpx | HTTP Request: POST http://127.0.0.1:8000/api/webhooks/delivery "HTTP/1.1 200 OK"
12:09:43 INFO  tests.http | POST http://127.0.0.1:8000/api/webhooks/delivery -> 200 (5 ms)
12:09:43 INFO  httpx | HTTP Request: GET http://127.0.0.1:8000/api/analytics/campaigns/10 "HTTP/1.1 200 OK"
12:09:43 INFO  tests.http | GET http://127.0.0.1:8000/api/analytics/campaigns/10 -> 200 (5 ms)
12:09:43 INFO  httpx | HTTP Request: POST http://127.0.0.1:8000/api/webhooks/delivery "HTTP/1.1 200 OK"
12:09:43 INFO  tests.http | POST http://127.0.0.1:8000/api/webhooks/delivery -> 200 (4 ms)
12:09:43 INFO  httpx | HTTP Request: GET http://127.0.0.1:8000/api/analytics/campaigns/10 "HTTP/1.1 200 OK"
12:09:43 INFO  tests.http | GET http://127.0.0.1:8000/api/analytics/campaigns/10 -> 200 (3 ms)
12:09:43 INFO  httpx | HTTP Request: DELETE http://127.0.0.1:8000/api/contacts/61 "HTTP/1.1 500 Internal Server Error"
12:09:43 INFO  tests.http | DELETE http://127.0.0.1:8000/api/contacts/61 -> 500 (13 ms)
12:09:43 INFO  httpx | HTTP Request: DELETE http://127.0.0.1:8000/api/contacts/62 "HTTP/1.1 500 Internal Server Error"
12:09:43 INFO  tests.http | DELETE http://127.0.0.1:8000/api/contacts/62 -> 500 (9 ms)
