07:33:42 INFO  httpx | HTTP Request: GET http://127.0.0.1:8000/api/health "HTTP/1.1 200 OK"
07:33:44 INFO  httpx | HTTP Request: POST http://127.0.0.1:8000/api/auth/login "HTTP/1.1 200 OK"
07:33:44 INFO  tests.http | POST http://127.0.0.1:8000/api/auth/login -> 200 (296 ms)
07:33:44 INFO  httpx | HTTP Request: POST http://127.0.0.1:8000/api/contacts "HTTP/1.1 201 Created"
07:33:44 INFO  tests.http | POST http://127.0.0.1:8000/api/contacts -> 201 (30 ms)
07:33:44 INFO  httpx | HTTP Request: POST http://127.0.0.1:8000/api/contacts "HTTP/1.1 201 Created"
07:33:44 INFO  tests.http | POST http://127.0.0.1:8000/api/contacts -> 201 (21 ms)
07:33:44 INFO  httpx | HTTP Request: POST http://127.0.0.1:8000/api/segments "HTTP/1.1 201 Created"
07:33:44 INFO  tests.http | POST http://127.0.0.1:8000/api/segments -> 201 (27 ms)
07:33:45 INFO  httpx | HTTP Request: POST http://127.0.0.1:8000/api/campaigns "HTTP/1.1 201 Created"
07:33:45 INFO  tests.http | POST http://127.0.0.1:8000/api/campaigns -> 201 (19 ms)
07:33:45 INFO  httpx | HTTP Request: POST http://127.0.0.1:8000/api/campaigns/8/send "HTTP/1.1 202 Accepted"
07:33:45 INFO  tests.http | POST http://127.0.0.1:8000/api/campaigns/8/send -> 202 (144 ms)
07:33:45 INFO  httpx | HTTP Request: GET http://127.0.0.1:8000/api/campaigns/8/deliveries "HTTP/1.1 200 OK"
07:33:45 INFO  tests.http | GET http://127.0.0.1:8000/api/campaigns/8/deliveries -> 200 (15 ms)
07:33:45 INFO  httpx | HTTP Request: GET http://127.0.0.1:8000/api/campaigns/8/deliveries "HTTP/1.1 200 OK"
07:33:45 INFO  tests.http | GET http://127.0.0.1:8000/api/campaigns/8/deliveries -> 200 (10 ms)
07:33:45 INFO  httpx | HTTP Request: GET http://127.0.0.1:8000/api/campaigns/8/deliveries "HTTP/1.1 200 OK"
07:33:45 INFO  tests.http | GET http://127.0.0.1:8000/api/campaigns/8/deliveries -> 200 (6 ms)
07:33:45 INFO  httpx | HTTP Request: GET http://127.0.0.1:8000/api/campaigns/8/deliveries "HTTP/1.1 200 OK"
07:33:45 INFO  tests.http | GET http://127.0.0.1:8000/api/campaigns/8/deliveries -> 200 (11 ms)
07:33:46 INFO  httpx | HTTP Request: GET http://127.0.0.1:8000/api/campaigns/8/deliveries "HTTP/1.1 200 OK"
07:33:46 INFO  tests.http | GET http://127.0.0.1:8000/api/campaigns/8/deliveries -> 200 (6 ms)
07:33:46 INFO  httpx | HTTP Request: GET http://127.0.0.1:8000/api/campaigns/8/deliveries "HTTP/1.1 200 OK"
07:33:46 INFO  tests.http | GET http://127.0.0.1:8000/api/campaigns/8/deliveries -> 200 (5 ms)
07:33:46 INFO  httpx | HTTP Request: GET http://127.0.0.1:8000/api/campaigns/8/deliveries "HTTP/1.1 200 OK"
07:33:46 INFO  tests.http | GET http://127.0.0.1:8000/api/campaigns/8/deliveries -> 200 (5 ms)
07:33:47 INFO  httpx | HTTP Request: GET http://127.0.0.1:8000/api/campaigns/8/deliveries "HTTP/1.1 200 OK"
07:33:47 INFO  tests.http | GET http://127.0.0.1:8000/api/campaigns/8/deliveries -> 200 (5 ms)
07:33:47 INFO  httpx | HTTP Request: GET http://127.0.0.1:8000/api/campaigns/8/deliveries "HTTP/1.1 200 OK"
07:33:47 INFO  tests.http | GET http://127.0.0.1:8000/api/campaigns/8/deliveries -> 200 (5 ms)
07:33:47 INFO  httpx | HTTP Request: GET http://127.0.0.1:8000/api/analytics/campaigns/8 "HTTP/1.1 200 OK"
07:33:47 INFO  tests.http | GET http://127.0.0.1:8000/api/analytics/campaigns/8 -> 200 (5 ms)
07:33:47 INFO  httpx | HTTP Request: POST http://127.0.0.1:8000/api/webhooks/delivery "HTTP/1.1 200 OK"
07:33:47 INFO  tests.http | POST http://127.0.0.1:8000/api/webhooks/delivery -> 200 (9 ms)
07:33:47 INFO  httpx | HTTP Request: POST http://127.0.0.1:8000/api/webhooks/delivery "HTTP/1.1 200 OK"
07:33:47 INFO  tests.http | POST http://127.0.0.1:8000/api/webhooks/delivery -> 200 (6 ms)
07:33:47 INFO  httpx | HTTP Request: GET http://127.0.0.1:8000/api/analytics/campaigns/8 "HTTP/1.1 200 OK"
07:33:47 INFO  tests.http | GET http://127.0.0.1:8000/api/analytics/campaigns/8 -> 200 (4 ms)
07:33:47 INFO  httpx | HTTP Request: POST http://127.0.0.1:8000/api/webhooks/delivery "HTTP/1.1 200 OK"
07:33:47 INFO  tests.http | POST http://127.0.0.1:8000/api/webhooks/delivery -> 200 (6 ms)
07:33:47 INFO  httpx | HTTP Request: GET http://127.0.0.1:8000/api/analytics/campaigns/8 "HTTP/1.1 200 OK"
07:33:47 INFO  tests.http | GET http://127.0.0.1:8000/api/analytics/campaigns/8 -> 200 (5 ms)
07:33:47 INFO  httpx | HTTP Request: DELETE http://127.0.0.1:8000/api/contacts/61 "HTTP/1.1 500 Internal Server Error"
07:33:47 INFO  tests.http | DELETE http://127.0.0.1:8000/api/contacts/61 -> 500 (16 ms)
07:33:47 INFO  httpx | HTTP Request: DELETE http://127.0.0.1:8000/api/contacts/63 "HTTP/1.1 500 Internal Server Error"
07:33:47 INFO  tests.http | DELETE http://127.0.0.1:8000/api/contacts/63 -> 500 (11 ms)
