07:22:39 INFO  httpx | HTTP Request: GET http://127.0.0.1:8000/api/health "HTTP/1.1 200 OK"
07:22:42 INFO  httpx | HTTP Request: POST http://127.0.0.1:8000/api/auth/login "HTTP/1.1 200 OK"
07:22:42 INFO  tests.http | POST http://127.0.0.1:8000/api/auth/login -> 200 (309 ms)
07:22:42 INFO  httpx | HTTP Request: POST http://127.0.0.1:8000/api/contacts "HTTP/1.1 201 Created"
07:22:42 INFO  tests.http | POST http://127.0.0.1:8000/api/contacts -> 201 (36 ms)
07:22:42 INFO  httpx | HTTP Request: POST http://127.0.0.1:8000/api/contacts "HTTP/1.1 201 Created"
07:22:42 INFO  tests.http | POST http://127.0.0.1:8000/api/contacts -> 201 (23 ms)
07:22:42 INFO  httpx | HTTP Request: POST http://127.0.0.1:8000/api/segments "HTTP/1.1 201 Created"
07:22:42 INFO  tests.http | POST http://127.0.0.1:8000/api/segments -> 201 (24 ms)
07:22:42 INFO  httpx | HTTP Request: POST http://127.0.0.1:8000/api/campaigns "HTTP/1.1 201 Created"
07:22:42 INFO  tests.http | POST http://127.0.0.1:8000/api/campaigns -> 201 (20 ms)
07:22:42 INFO  httpx | HTTP Request: POST http://127.0.0.1:8000/api/campaigns/10/send "HTTP/1.1 202 Accepted"
07:22:42 INFO  tests.http | POST http://127.0.0.1:8000/api/campaigns/10/send -> 202 (32 ms)
07:22:42 INFO  httpx | HTTP Request: GET http://127.0.0.1:8000/api/campaigns/10/deliveries "HTTP/1.1 200 OK"
07:22:42 INFO  tests.http | GET http://127.0.0.1:8000/api/campaigns/10/deliveries -> 200 (13 ms)
07:22:42 INFO  httpx | HTTP Request: GET http://127.0.0.1:8000/api/campaigns/10/deliveries "HTTP/1.1 200 OK"
07:22:42 INFO  tests.http | GET http://127.0.0.1:8000/api/campaigns/10/deliveries -> 200 (21 ms)
07:22:42 INFO  httpx | HTTP Request: GET http://127.0.0.1:8000/api/campaigns/10/deliveries "HTTP/1.1 200 OK"
07:22:42 INFO  tests.http | GET http://127.0.0.1:8000/api/campaigns/10/deliveries -> 200 (7 ms)
07:22:43 INFO  httpx | HTTP Request: GET http://127.0.0.1:8000/api/campaigns/10/deliveries "HTTP/1.1 200 OK"
07:22:43 INFO  tests.http | GET http://127.0.0.1:8000/api/campaigns/10/deliveries -> 200 (8 ms)
07:22:43 INFO  httpx | HTTP Request: GET http://127.0.0.1:8000/api/campaigns/10/deliveries "HTTP/1.1 200 OK"
07:22:43 INFO  tests.http | GET http://127.0.0.1:8000/api/campaigns/10/deliveries -> 200 (7 ms)
07:22:43 INFO  httpx | HTTP Request: GET http://127.0.0.1:8000/api/campaigns/10/deliveries "HTTP/1.1 200 OK"
07:22:43 INFO  tests.http | GET http://127.0.0.1:8000/api/campaigns/10/deliveries -> 200 (8 ms)
07:22:43 INFO  httpx | HTTP Request: GET http://127.0.0.1:8000/api/campaigns/10/deliveries "HTTP/1.1 200 OK"
07:22:43 INFO  tests.http | GET http://127.0.0.1:8000/api/campaigns/10/deliveries -> 200 (6 ms)
07:22:44 INFO  httpx | HTTP Request: GET http://127.0.0.1:8000/api/campaigns/10/deliveries "HTTP/1.1 200 OK"
07:22:44 INFO  tests.http | GET http://127.0.0.1:8000/api/campaigns/10/deliveries -> 200 (9 ms)
07:22:44 INFO  httpx | HTTP Request: GET http://127.0.0.1:8000/api/campaigns/10/deliveries "HTTP/1.1 200 OK"
07:22:44 INFO  tests.http | GET http://127.0.0.1:8000/api/campaigns/10/deliveries -> 200 (7 ms)
07:22:44 INFO  httpx | HTTP Request: GET http://127.0.0.1:8000/api/analytics/campaigns/10 "HTTP/1.1 200 OK"
07:22:44 INFO  tests.http | GET http://127.0.0.1:8000/api/analytics/campaigns/10 -> 200 (6 ms)
07:22:44 INFO  httpx | HTTP Request: POST http://127.0.0.1:8000/api/webhooks/delivery "HTTP/1.1 200 OK"
07:22:44 INFO  tests.http | POST http://127.0.0.1:8000/api/webhooks/delivery -> 200 (9 ms)
07:22:44 INFO  httpx | HTTP Request: POST http://127.0.0.1:8000/api/webhooks/delivery "HTTP/1.1 200 OK"
07:22:44 INFO  tests.http | POST http://127.0.0.1:8000/api/webhooks/delivery -> 200 (6 ms)
07:22:44 INFO  httpx | HTTP Request: GET http://127.0.0.1:8000/api/analytics/campaigns/10 "HTTP/1.1 200 OK"
07:22:44 INFO  tests.http | GET http://127.0.0.1:8000/api/analytics/campaigns/10 -> 200 (5 ms)
07:22:44 INFO  httpx | HTTP Request: POST http://127.0.0.1:8000/api/webhooks/delivery "HTTP/1.1 200 OK"
07:22:44 INFO  tests.http | POST http://127.0.0.1:8000/api/webhooks/delivery -> 200 (8 ms)
07:22:44 INFO  httpx | HTTP Request: GET http://127.0.0.1:8000/api/analytics/campaigns/10 "HTTP/1.1 200 OK"
07:22:44 INFO  tests.http | GET http://127.0.0.1:8000/api/analytics/campaigns/10 -> 200 (7 ms)
07:22:44 INFO  httpx | HTTP Request: DELETE http://127.0.0.1:8000/api/contacts/62 "HTTP/1.1 500 Internal Server Error"
07:22:44 INFO  tests.http | DELETE http://127.0.0.1:8000/api/contacts/62 -> 500 (17 ms)
07:22:44 INFO  httpx | HTTP Request: DELETE http://127.0.0.1:8000/api/contacts/63 "HTTP/1.1 500 Internal Server Error"
07:22:44 INFO  tests.http | DELETE http://127.0.0.1:8000/api/contacts/63 -> 500 (13 ms)
