10:05:33 INFO  httpx | HTTP Request: GET http://127.0.0.1:8000/api/health "HTTP/1.1 200 OK"
10:05:35 INFO  httpx | HTTP Request: POST http://127.0.0.1:8000/api/auth/login "HTTP/1.1 200 OK"
10:05:35 INFO  tests.http | POST http://127.0.0.1:8000/api/auth/login -> 200 (307 ms)
10:05:35 INFO  httpx | HTTP Request: POST http://127.0.0.1:8000/api/contacts "HTTP/1.1 201 Created"
10:05:35 INFO  tests.http | POST http://127.0.0.1:8000/api/contacts -> 201 (27 ms)
10:05:35 INFO  httpx | HTTP Request: DELETE http://127.0.0.1:8000/api/contacts/63 "HTTP/1.1 204 No Content"
10:05:35 INFO  tests.http | DELETE http://127.0.0.1:8000/api/contacts/63 -> 204 (20 ms)
10:05:35 INFO  httpx | HTTP Request: GET http://127.0.0.1:8000/api/contacts/63 "HTTP/1.1 404 Not Found"
10:05:35 INFO  tests.http | GET http://127.0.0.1:8000/api/contacts/63 -> 404 (13 ms)
10:05:35 INFO  httpx | HTTP Request: GET http://127.0.0.1:8000/api/contacts?q=contact.3652e7f5%40qa.example.com "HTTP/1.1 200 OK"
10:05:35 INFO  tests.http | GET http://127.0.0.1:8000/api/contacts?q=contact.3652e7f5%40qa.example.com -> 200 (16 ms)
