11:37:45 INFO  httpx | HTTP Request: GET http://127.0.0.1:8000/api/health "HTTP/1.1 200 OK"
11:37:47 INFO  httpx | HTTP Request: POST http://127.0.0.1:8000/api/auth/login "HTTP/1.1 200 OK"
11:37:47 INFO  tests.http | POST http://127.0.0.1:8000/api/auth/login -> 200 (329 ms)
11:37:48 INFO  httpx | HTTP Request: POST http://127.0.0.1:8000/api/contacts "HTTP/1.1 201 Created"
11:37:48 INFO  tests.http | POST http://127.0.0.1:8000/api/contacts -> 201 (13 ms)
11:37:48 INFO  httpx | HTTP Request: GET http://127.0.0.1:8000/api/contacts/63 "HTTP/1.1 200 OK"
11:37:48 INFO  tests.http | GET http://127.0.0.1:8000/api/contacts/63 -> 200 (12 ms)
11:37:48 INFO  httpx | HTTP Request: PATCH http://127.0.0.1:8000/api/contacts/63 "HTTP/1.1 200 OK"
11:37:48 INFO  tests.http | PATCH http://127.0.0.1:8000/api/contacts/63 -> 200 (17 ms)
11:37:48 INFO  httpx | HTTP Request: DELETE http://127.0.0.1:8000/api/contacts/63 "HTTP/1.1 204 No Content"
11:37:48 INFO  tests.http | DELETE http://127.0.0.1:8000/api/contacts/63 -> 204 (11 ms)
