11:01:31 INFO  httpx | HTTP Request: GET http://127.0.0.1:8000/api/health "HTTP/1.1 200 OK"
11:01:33 INFO  httpx | HTTP Request: POST http://127.0.0.1:8000/api/auth/login "HTTP/1.1 200 OK"
11:01:33 INFO  tests.http | POST http://127.0.0.1:8000/api/auth/login -> 200 (297 ms)
11:01:33 INFO  httpx | HTTP Request: POST http://127.0.0.1:8000/api/contacts "HTTP/1.1 201 Created"
11:01:33 INFO  tests.http | POST http://127.0.0.1:8000/api/contacts -> 201 (17 ms)
11:01:33 INFO  httpx | HTTP Request: POST http://127.0.0.1:8000/api/contacts "HTTP/1.1 201 Created"
11:01:33 INFO  tests.http | POST http://127.0.0.1:8000/api/contacts -> 201 (14 ms)
11:01:33 INFO  httpx | HTTP Request: POST http://127.0.0.1:8000/api/segments "HTTP/1.1 201 Created"
11:01:33 INFO  tests.http | POST http://127.0.0.1:8000/api/segments -> 201 (22 ms)
11:01:33 INFO  httpx | HTTP Request: POST http://127.0.0.1:8000/api/campaigns "HTTP/1.1 201 Created"
11:01:33 INFO  tests.http | POST http://127.0.0.1:8000/api/campaigns -> 201 (12 ms)
11:01:33 INFO  httpx | HTTP Request: POST http://127.0.0.1:8000/api/campaigns/12/send "HTTP/1.1 202 Accepted"
11:01:33 INFO  tests.http | POST http://127.0.0.1:8000/api/campaigns/12/send -> 202 (21 ms)
11:01:33 INFO  httpx | HTTP Request: GET http://127.0.0.1:8000/api/campaigns/12/deliveries "HTTP/1.1 200 OK"
11:01:33 INFO  tests.http | GET http://127.0.0.1:8000/api/campaigns/12/deliveries -> 200 (14 ms)
11:01:33 INFO  httpx | HTTP Request: GET http://127.0.0.1:8000/api/campaigns/12/deliveries "HTTP/1.1 200 OK"
11:01:33 INFO  tests.http | GET http://127.0.0.1:8000/api/campaigns/12/deliveries -> 200 (7 ms)
11:01:33 INFO  httpx | HTTP Request: GET http://127.0.0.1:8000/api/campaigns/12/deliveries "HTTP/1.1 200 OK"
11:01:33 INFO  tests.http | GET http://127.0.0.1:8000/api/campaigns/12/deliveries -> 200 (5 ms)
11:01:34 INFO  httpx | HTTP Request: GET http://127.0.0.1:8000/api/campaigns/12/deliveries "HTTP/1.1 200 OK"
11:01:34 INFO  tests.http | GET http://127.0.0.1:8000/api/campaigns/12/deliveries -> 200 (5 ms)
11:01:34 INFO  httpx | HTTP Request: GET http://127.0.0.1:8000/api/campaigns/12/deliveries "HTTP/1.1 200 OK"
11:01:34 INFO  tests.http | GET http://127.0.0.1:8000/api/campaigns/12/deliveries -> 200 (5 ms)
11:01:34 INFO  httpx | HTTP Request: GET http://127.0.0.1:8000/api/campaigns/12/deliveries "HTTP/1.1 200 OK"
11:01:34 INFO  tests.http | GET http://127.0.0.1:8000/api/campaigns/12/deliveries -> 200 (5 ms)
11:01:34 INFO  httpx | HTTP Request: GET http://127.0.0.1:8000/api/campaigns/12/deliveries "HTTP/1.1 200 OK"
11:01:34 INFO  tests.http | GET http://127.0.0.1:8000/api/campaigns/12/deliveries -> 200 (5 ms)
11:01:35 INFO  httpx | HTTP Request: GET http://127.0.0.1:8000/api/campaigns/12/deliveries "HTTP/1.1 200 OK"
11:01:35 INFO  tests.http | GET http://127.0.0.1:8000/api/campaigns/12/deliveries -> 200 (5 ms)
11:01:35 INFO  httpx | HTTP Request: GET http://127.0.0.1:8000/api/campaigns/12/deliveries "HTTP/1.1 200 OK"
11:01:35 INFO  tests.http | GET http://127.0.0.1:8000/api/campaigns/12/deliveries -> 200 (5 ms)
11:01:35 INFO  httpx | HTTP Request: GET http://127.0.0.1:8000/api/analytics/campaigns/12 "HTTP/1.1 200 OK"
11:01:35 INFO  tests.http | GET http://127.0.0.1:8000/api/analytics/campaigns/12 -> 200 (6 ms)
11:01:35 INFO  httpx | HTTP Request: POST http://127.0.0.1:8000/api/webhooks/delivery "HTTP/1.1 200 OK"
11:01:35 INFO  tests.http | POST http://127.0.0.1:8000/api/webhooks/delivery -> 200 (11 ms)
11:01:35 INFO  httpx | HTTP Request: POST http://127.0.0.1:8000/api/webhooks/delivery "HTTP/1.1 200 OK"
11:01:35 INFO  tests.http | POST http://127.0.0.1:8000/api/webhooks/delivery -> 200 (6 ms)
11:01:35 INFO  httpx | HTTP Request: GET http://127.0.0.1:8000/api/analytics/campaigns/12 "HTTP/1.1 200 OK"
11:01:35 INFO  tests.http | GET http://127.0.0.1:8000/api/analytics/campaigns/12 -> 200 (5 ms)
11:01:35 INFO  httpx | HTTP Request: POST http://127.0.0.1:8000/api/webhooks/delivery "HTTP/1.1 200 OK"
11:01:35 INFO  tests.http | POST http://127.0.0.1:8000/api/webhooks/delivery -> 200 (8 ms)
11:01:35 INFO  httpx | HTTP Request: GET http://127.0.0.1:8000/api/analytics/campaigns/12 "HTTP/1.1 200 OK"
11:01:35 INFO  tests.http | GET http://127.0.0.1:8000/api/analytics/campaigns/12 -> 200 (5 ms)
11:01:35 INFO  httpx | HTTP Request: DELETE http://127.0.0.1:8000/api/contacts/61 "HTTP/1.1 500 Internal Server Error"
11:01:35 INFO  tests.http | DELETE http://127.0.0.1:8000/api/contacts/61 -> 500 (17 ms)
11:01:35 INFO  httpx | HTTP Request: DELETE http://127.0.0.1:8000/api/contacts/62 "HTTP/1.1 500 Internal Server Error"
11:01:35 INFO  tests.http | DELETE http://127.0.0.1:8000/api/contacts/62 -> 500 (13 ms)
