09:53:59 INFO  httpx | HTTP Request: GET http://127.0.0.1:8000/api/health "HTTP/1.1 200 OK"
09:54:01 INFO  httpx | HTTP Request: POST http://127.0.0.1:8000/api/auth/login "HTTP/1.1 200 OK"
09:54:01 INFO  tests.http | POST http://127.0.0.1:8000/api/auth/login -> 200 (328 ms)
09:54:01 INFO  httpx | HTTP Request: POST http://127.0.0.1:8000/api/contacts "HTTP/1.1 201 Created"
09:54:01 INFO  tests.http | POST http://127.0.0.1:8000/api/contacts -> 201 (22 ms)
09:54:01 INFO  httpx | HTTP Request: GET http://127.0.0.1:8000/api/contacts?country=GB "HTTP/1.1 200 OK"
09:54:01 INFO  tests.http | GET http://127.0.0.1:8000/api/contacts?country=GB -> 200 (14 ms)
09:54:01 INFO  httpx | HTTP Request: GET http://127.0.0.1:8000/api/contacts?plan=enterprise "HTTP/1.1 200 OK"
09:54:01 INFO  tests.http | GET http://127.0.0.1:8000/api/contacts?plan=enterprise -> 200 (18 ms)
09:54:01 INFO  httpx | HTTP Request: GET http://127.0.0.1:8000/api/contacts?country=GB&plan=enterprise "HTTP/1.1 200 OK"
09:54:01 INFO  tests.http | GET http://127.0.0.1:8000/api/contacts?country=GB&plan=enterprise -> 200 (15 ms)
09:54:01 INFO  httpx | HTTP Request: DELETE http://127.0.0.1:8000/api/contacts/63 "HTTP/1.1 204 No Content"
09:54:01 INFO  tests.http | DELETE http://127.0.0.1:8000/api/contacts/63 -> 204 (18 ms)
