10:54:41 INFO  httpx | HTTP Request: GET http://127.0.0.1:8000/api/health "HTTP/1.1 200 OK"
10:54:43 INFO  httpx | HTTP Request: POST http://127.0.0.1:8000/api/auth/login "HTTP/1.1 200 OK"
10:54:43 INFO  tests.http | POST http://127.0.0.1:8000/api/auth/login -> 200 (299 ms)
10:54:43 INFO  httpx | HTTP Request: POST http://127.0.0.1:8000/api/campaigns "HTTP/1.1 201 Created"
10:54:43 INFO  tests.http | POST http://127.0.0.1:8000/api/campaigns -> 201 (13 ms)
10:54:43 INFO  httpx | HTTP Request: PATCH http://127.0.0.1:8000/api/campaigns/6 "HTTP/1.1 200 OK"
10:54:43 INFO  tests.http | PATCH http://127.0.0.1:8000/api/campaigns/6 -> 200 (16 ms)
10:54:43 INFO  httpx | HTTP Request: PATCH http://127.0.0.1:8000/api/campaigns/6 "HTTP/1.1 200 OK"
10:54:43 INFO  tests.http | PATCH http://127.0.0.1:8000/api/campaigns/6 -> 200 (13 ms)
10:54:43 INFO  httpx | HTTP Request: PATCH http://127.0.0.1:8000/api/campaigns/6 "HTTP/1.1 422 Unprocessable Content"
10:54:43 INFO  tests.http | PATCH http://127.0.0.1:8000/api/campaigns/6 -> 422 (8 ms)
10:54:43 INFO  httpx | HTTP Request: PATCH http://127.0.0.1:8000/api/campaigns/6 "HTTP/1.1 422 Unprocessable Content"
10:54:43 INFO  tests.http | PATCH http://127.0.0.1:8000/api/campaigns/6 -> 422 (12 ms)
10:54:43 INFO  httpx | HTTP Request: PATCH http://127.0.0.1:8000/api/campaigns/6 "HTTP/1.1 422 Unprocessable Content"
10:54:43 INFO  tests.http | PATCH http://127.0.0.1:8000/api/campaigns/6 -> 422 (12 ms)
10:54:43 INFO  httpx | HTTP Request: GET http://127.0.0.1:8000/api/campaigns/6 "HTTP/1.1 200 OK"
10:54:43 INFO  tests.http | GET http://127.0.0.1:8000/api/campaigns/6 -> 200 (11 ms)
