10:38:26 INFO  httpx | HTTP Request: GET http://127.0.0.1:8000/api/health "HTTP/1.1 200 OK"
10:38:29 INFO  httpx | HTTP Request: POST http://127.0.0.1:8000/api/auth/login "HTTP/1.1 200 OK"
10:38:29 INFO  tests.http | POST http://127.0.0.1:8000/api/auth/login -> 200 (328 ms)
10:38:29 INFO  httpx | HTTP Request: POST http://127.0.0.1:8000/api/contacts "HTTP/1.1 201 Created"
10:38:29 INFO  tests.http | POST http://127.0.0.1:8000/api/contacts -> 201 (22 ms)
10:38:29 INFO  httpx | HTTP Request: POST http://127.0.0.1:8000/api/contacts "HTTP/1.1 201 Created"
10:38:29 INFO  tests.http | POST http://127.0.0.1:8000/api/contacts -> 201 (25 ms)
10:38:29 INFO  httpx | HTTP Request: POST http://127.0.0.1:8000/api/segments "HTTP/1.1 201 Created"
10:38:29 INFO  tests.http | POST http://127.0.0.1:8000/api/segments -> 201 (24 ms)
10:38:29 INFO  httpx | HTTP Request: POST http://127.0.0.1:8000/api/campaigns "HTTP/1.1 201 Created"
10:38:29 INFO  tests.http | POST http://127.0.0.1:8000/api/campaigns -> 201 (20 ms)
10:38:29 INFO  httpx | HTTP Request: POST http://127.0.0.1:8000/api/campaigns/8/send "HTTP/1.1 202 Accepted"
10:38:29 INFO  tests.http | POST http://127.0.0.1:8000/api/campaigns/8/send -> 202 (134 ms)
10:38:29 INFO  httpx | HTTP Request: GET http://127.0.0.1:8000/api/campaigns/8/deliveries "HTTP/1.1 200 OK"
10:38:29 INFO  tests.http | GET http://127.0.0.1:8000/api/campaigns/8/deliveries -> 200 (14 ms)
10:38:29 INFO  httpx | HTTP Request: GET http://127.0.0.1:8000/api/campaigns/8/deliveries "HTTP/1.1 200 OK"
10:38:29 INFO  tests.http | GET http://127.0.0.1:8000/api/campaigns/8/deliveries -> 200 (5 ms)
10:38:30 INFO  httpx | HTTP Request: GET http://127.0.0.1:8000/api/campaigns/8/deliveries "HTTP/1.1 200 OK"
10:38:30 INFO  tests.http | GET http://127.0.0.1:8000/api/campaigns/8/deliveries -> 200 (5 ms)
10:38:30 INFO  httpx | HTTP Request: GET http://127.0.0.1:8000/api/campaigns/8/deliveries "HTTP/1.1 200 OK"
10:38:30 INFO  tests.http | GET http://127.0.0.1:8000/api/campaigns/8/deliveries -> 200 (5 ms)
10:38:30 INFO  httpx | HTTP Request: GET http://127.0.0.1:8000/api/campaigns/8/deliveries "HTTP/1.1 200 OK"
10:38:30 INFO  tests.http | GET http://127.0.0.1:8000/api/campaigns/8/deliveries -> 200 (5 ms)
10:38:30 INFO  httpx | HTTP Request: GET http://127.0.0.1:8000/api/campaigns/8/deliveries "HTTP/1.1 200 OK"
10:38:30 INFO  tests.http | GET http://127.0.0.1:8000/api/campaigns/8/deliveries -> 200 (5 ms)
10:38:31 INFO  httpx | HTTP Request: GET http://127.0.0.1:8000/api/campaigns/8/deliveries "HTTP/1.1 200 OK"
10:38:31 INFO  tests.http | GET http://127.0.0.1:8000/api/campaigns/8/deliveries -> 200 (6 ms)
10:38:31 INFO  httpx | HTTP Request: GET http://127.0.0.1:8000/api/campaigns/8/deliveries "HTTP/1.1 200 OK"
10:38:31 INFO  tests.http | GET http://127.0.0.1:8000/api/campaigns/8/deliveries -> 200 (6 ms)
10:38:31 INFO  httpx | HTTP Request: GET http://127.0.0.1:8000/api/campaigns/8/deliveries "HTTP/1.1 200 OK"
10:38:31 INFO  tests.http | GET http://127.0.0.1:8000/api/campaigns/8/deliveries -> 200 (5 ms)
10:38:31 INFO  httpx | HTTP Request: GET http://127.0.0.1:8000/api/analytics/campaigns/8 "HTTP/1.1 200 OK"
10:38:31 INFO  tests.http | GET http://127.0.0.1:8000/api/analytics/campaigns/8 -> 200 (8 ms)
10:38:31 INFO  httpx | HTTP Request: POST http://127.0.0.1:8000/api/webhooks/delivery "HTTP/1.1 200 OK"
10:38:31 INFO  tests.http | POST http://127.0.0.1:8000/api/webhooks/delivery -> 200 (11 ms)
10:38:31 INFO  httpx | HTTP Request: POST http://127.0.0.1:8000/api/webhooks/delivery "HTTP/1.1 200 OK"
10:38:31 INFO  tests.http | POST http://127.0.0.1:8000/api/webhooks/delivery -> 200 (8 ms)
10:38:31 INFO  httpx | HTTP Request: GET http://127.0.0.1:8000/api/analytics/campaigns/8 "HTTP/1.1 200 OK"
10:38:31 INFO  tests.http | GET http://127.0.0.1:8000/api/analytics/campaigns/8 -> 200 (6 ms)
10:38:31 INFO  httpx | HTTP Request: POST http://127.0.0.1:8000/api/webhooks/delivery "HTTP/1.1 200 OK"
10:38:31 INFO  tests.http | POST http://127.0.0.1:8000/api/webhooks/delivery -> 200 (9 ms)
10:38:31 INFO  httpx | HTTP Request: GET http://127.0.0.1:8000/api/analytics/campaigns/8 "HTTP/1.1 200 OK"
10:38:31 INFO  tests.http | GET http://127.0.0.1:8000/api/analytics/campaigns/8 -> 200 (7 ms)
10:38:31 INFO  httpx | HTTP Request: DELETE http://127.0.0.1:8000/api/contacts/61 "HTTP/1.1 409 Conflict"
10:38:31 INFO  tests.http | DELETE http://127.0.0.1:8000/api/contacts/61 -> 409 (8 ms)
10:38:31 INFO  httpx | HTTP Request: DELETE http://127.0.0.1:8000/api/contacts/62 "HTTP/1.1 409 Conflict"
10:38:31 INFO  tests.http | DELETE http://127.0.0.1:8000/api/contacts/62 -> 409 (8 ms)
