07:33:42 INFO  httpx | HTTP Request: GET http://127.0.0.1:8000/api/health "HTTP/1.1 200 OK"
07:33:44 INFO  httpx | HTTP Request: POST http://127.0.0.1:8000/api/auth/login "HTTP/1.1 200 OK"
07:33:44 INFO  tests.http | POST http://127.0.0.1:8000/api/auth/login -> 200 (294 ms)
07:33:44 INFO  httpx | HTTP Request: POST http://127.0.0.1:8000/api/contacts "HTTP/1.1 201 Created"
07:33:44 INFO  tests.http | POST http://127.0.0.1:8000/api/contacts -> 201 (40 ms)
07:33:44 INFO  httpx | HTTP Request: DELETE http://127.0.0.1:8000/api/contacts/62 "HTTP/1.1 204 No Content"
07:33:44 INFO  tests.http | DELETE http://127.0.0.1:8000/api/contacts/62 -> 204 (21 ms)
07:33:44 INFO  httpx | HTTP Request: GET http://127.0.0.1:8000/api/contacts/62 "HTTP/1.1 404 Not Found"
07:33:44 INFO  tests.http | GET http://127.0.0.1:8000/api/contacts/62 -> 404 (9 ms)
07:33:44 INFO  httpx | HTTP Request: GET http://127.0.0.1:8000/api/contacts?q=contact.8806d8a6%40qa.example.com "HTTP/1.1 200 OK"
07:33:44 INFO  tests.http | GET http://127.0.0.1:8000/api/contacts?q=contact.8806d8a6%40qa.example.com -> 200 (12 ms)
