07:55:45 INFO  httpx | HTTP Request: POST http://127.0.0.1:8000/api/contacts "HTTP/1.1 201 Created"
07:55:45 INFO  tests.http | POST http://127.0.0.1:8000/api/contacts -> 201 (10 ms)
07:55:45 INFO  httpx | HTTP Request: GET http://127.0.0.1:8000/api/contacts?q=Genevieve "HTTP/1.1 200 OK"
07:55:45 INFO  tests.http | GET http://127.0.0.1:8000/api/contacts?q=Genevieve -> 200 (9 ms)
07:55:45 INFO  httpx | HTTP Request: GET http://127.0.0.1:8000/api/contacts?q=genevieve "HTTP/1.1 200 OK"
07:55:45 INFO  tests.http | GET http://127.0.0.1:8000/api/contacts?q=genevieve -> 200 (9 ms)
07:55:45 INFO  httpx | HTTP Request: GET http://127.0.0.1:8000/api/contacts?q=GENEV "HTTP/1.1 200 OK"
07:55:45 INFO  tests.http | GET http://127.0.0.1:8000/api/contacts?q=GENEV -> 200 (8 ms)
07:55:45 INFO  httpx | HTTP Request: GET http://127.0.0.1:8000/api/contacts?q=contact.a430e532%40qa.example.com "HTTP/1.1 200 OK"
07:55:45 INFO  tests.http | GET http://127.0.0.1:8000/api/contacts?q=contact.a430e532%40qa.example.com -> 200 (7 ms)
07:55:45 INFO  httpx | HTTP Request: DELETE http://127.0.0.1:8000/api/contacts/75 "HTTP/1.1 204 No Content"
07:55:45 INFO  tests.http | DELETE http://127.0.0.1:8000/api/contacts/75 -> 204 (10 ms)
