10:05:33 INFO  httpx | HTTP Request: GET http://127.0.0.1:8000/api/health "HTTP/1.1 200 OK"
10:05:35 INFO  httpx | HTTP Request: POST http://127.0.0.1:8000/api/auth/login "HTTP/1.1 200 OK"
10:05:35 INFO  tests.http | POST http://127.0.0.1:8000/api/auth/login -> 200 (298 ms)
10:05:35 INFO  httpx | HTTP Request: POST http://127.0.0.1:8000/api/contacts "HTTP/1.1 201 Created"
10:05:35 INFO  tests.http | POST http://127.0.0.1:8000/api/contacts -> 201 (25 ms)
10:05:35 INFO  httpx | HTTP Request: POST http://127.0.0.1:8000/api/contacts "HTTP/1.1 201 Created"
10:05:35 INFO  tests.http | POST http://127.0.0.1:8000/api/contacts -> 201 (16 ms)
10:05:35 INFO  httpx | HTTP Request: POST http://127.0.0.1:8000/api/segments "HTTP/1.1 201 Created"
10:05:35 INFO  tests.http | POST http://127.0.0.1:8000/api/segments -> 201 (28 ms)
10:05:35 INFO  httpx | HTTP Request: POST http://127.0.0.1:8000/api/campaigns "HTTP/1.1 201 Created"
10:05:35 INFO  tests.http | POST http://127.0.0.1:8000/api/campaigns -> 201 (22 ms)
10:05:35 INFO  httpx | HTTP Request: POST http://127.0.0.1:8000/api/campaigns/10/send "HTTP/1.1 202 Accepted"
10:05:35 INFO  tests.http | POST http://127.0.0.1:8000/api/campaigns/10/send -> 202 (33 ms)
10:05:35 INFO  httpx | HTTP Request: GET http://127.0.0.1:8000/api/campaigns/10/deliveries "HTTP/1.1 200 OK"
10:05:35 INFO  tests.http | GET http://127.0.0.1:8000/api/campaigns/10/deliveries -> 200 (18 ms)
10:05:35 INFO  httpx | HTTP Request: GET http://127.0.0.1:8000/api/campaigns/10/deliveries "HTTP/1.1 200 OK"
10:05:35 INFO  tests.http | GET http://127.0.0.1:8000/api/campaigns/10/deliveries -> 200 (12 ms)
10:05:36 INFO  httpx | HTTP Request: GET http://127.0.0.1:8000/api/campaigns/10/deliveries "HTTP/1.1 200 OK"
10:05:36 INFO  tests.http | GET http://127.0.0.1:8000/api/campaigns/10/deliveries -> 200 (5 ms)
10:05:36 INFO  httpx | HTTP Request: GET http://127.0.0.1:8000/api/campaigns/10/deliveries "HTTP/1.1 200 OK"
10:05:36 INFO  tests.http | GET http://127.0.0.1:8000/api/campaigns/10/deliveries -> 200 (5 ms)
10:05:36 INFO  httpx | HTTP Request: GET http://127.0.0.1:8000/api/campaigns/10/deliveries "HTTP/1.1 200 OK"
10:05:36 INFO  tests.http | GET http://127.0.0.1:8000/api/campaigns/10/deliveries -> 200 (8 ms)
10:05:36 INFO  httpx | HTTP Request: GET http://127.0.0.1:8000/api/campaigns/10/deliveries "HTTP/1.1 200 OK"
10:05:36 INFO  tests.http | GET http://127.0.0.1:8000/api/campaigns/10/deliveries -> 200 (5 ms)
10:05:37 INFO  httpx | HTTP Request: GET http://127.0.0.1:8000/api/campaigns/10/deliveries "HTTP/1.1 200 OK"
10:05:37 INFO  tests.http | GET http://127.0.0.1:8000/api/campaigns/10/deliveries -> 200 (5 ms)
10:05:37 INFO  httpx | HTTP Request: GET http://127.0.0.1:8000/api/campaigns/10/deliveries "HTTP/1.1 200 OK"
10:05:37 INFO  tests.http | GET http://127.0.0.1:8000/api/campaigns/10/deliveries -> 200 (7 ms)
10:05:37 INFO  httpx | HTTP Request: GET http://127.0.0.1:8000/api/campaigns/10/deliveries "HTTP/1.1 200 OK"
10:05:37 INFO  tests.http | GET http://127.0.0.1:8000/api/campaigns/10/deliveries -> 200 (7 ms)
10:05:37 INFO  httpx | HTTP Request: GET http://127.0.0.1:8000/api/analytics/campaigns/10 "HTTP/1.1 200 OK"
10:05:37 INFO  tests.http | GET http://127.0.0.1:8000/api/analytics/campaigns/10 -> 200 (11 ms)
10:05:37 INFO  httpx | HTTP Request: POST http://127.0.0.1:8000/api/webhooks/delivery "HTTP/1.1 200 OK"
10:05:37 INFO  tests.http | POST http://127.0.0.1:8000/api/webhooks/delivery -> 200 (15 ms)
10:05:37 INFO  httpx | HTTP Request: POST http://127.0.0.1:8000/api/webhooks/delivery "HTTP/1.1 200 OK"
10:05:37 INFO  tests.http | POST http://127.0.0.1:8000/api/webhooks/delivery -> 200 (7 ms)
10:05:37 INFO  httpx | HTTP Request: GET http://127.0.0.1:8000/api/analytics/campaigns/10 "HTTP/1.1 200 OK"
10:05:37 INFO  tests.http | GET http://127.0.0.1:8000/api/analytics/campaigns/10 -> 200 (4 ms)
10:05:37 INFO  httpx | HTTP Request: POST http://127.0.0.1:8000/api/webhooks/delivery "HTTP/1.1 200 OK"
10:05:37 INFO  tests.http | POST http://127.0.0.1:8000/api/webhooks/delivery -> 200 (5 ms)
10:05:37 INFO  httpx | HTTP Request: GET http://127.0.0.1:8000/api/analytics/campaigns/10 "HTTP/1.1 200 OK"
10:05:37 INFO  tests.http | GET http://127.0.0.1:8000/api/analytics/campaigns/10 -> 200 (4 ms)
10:05:37 INFO  httpx | HTTP Request: DELETE http://127.0.0.1:8000/api/contacts/61 "HTTP/1.1 409 Conflict"
10:05:37 INFO  tests.http | DELETE http://127.0.0.1:8000/api/contacts/61 -> 409 (5 ms)
10:05:37 INFO  httpx | HTTP Request: DELETE http://127.0.0.1:8000/api/contacts/64 "HTTP/1.1 409 Conflict"
10:05:37 INFO  tests.http | DELETE http://127.0.0.1:8000/api/contacts/64 -> 409 (5 ms)
