07:33:48 INFO  httpx | HTTP Request: POST http://127.0.0.1:8000/api/notifications "HTTP/1.1 201 Created"
07:33:48 INFO  tests.http | POST http://127.0.0.1:8000/api/notifications -> 201 (5 ms)
07:33:48 INFO  httpx | HTTP Request: PATCH http://127.0.0.1:8000/api/notifications/5 "HTTP/1.1 200 OK"
07:33:48 INFO  tests.http | PATCH http://127.0.0.1:8000/api/notifications/5 -> 200 (6 ms)
07:33:48 INFO  httpx | HTTP Request: POST http://127.0.0.1:8000/api/contacts "HTTP/1.1 201 Created"
07:33:48 INFO  tests.http | POST http://127.0.0.1:8000/api/contacts -> 201 (6 ms)
07:33:48 INFO  httpx | HTTP Request: POST http://127.0.0.1:8000/api/notifications/5/impressions?contact_id=106 "HTTP/1.1 201 Created"
07:33:48 INFO  tests.http | POST http://127.0.0.1:8000/api/notifications/5/impressions?contact_id=106 -> 201 (6 ms)
07:33:48 INFO  httpx | HTTP Request: POST http://127.0.0.1:8000/api/notifications/5/impressions?contact_id=106 "HTTP/1.1 201 Created"
07:33:48 INFO  tests.http | POST http://127.0.0.1:8000/api/notifications/5/impressions?contact_id=106 -> 201 (7 ms)
07:33:48 INFO  httpx | HTTP Request: POST http://127.0.0.1:8000/api/notifications/5/impressions?contact_id=106 "HTTP/1.1 201 Created"
07:33:48 INFO  tests.http | POST http://127.0.0.1:8000/api/notifications/5/impressions?contact_id=106 -> 201 (7 ms)
07:33:48 INFO  httpx | HTTP Request: GET http://127.0.0.1:8000/api/notifications/5/eligibility?contact_id=106 "HTTP/1.1 200 OK"
07:33:48 INFO  tests.http | GET http://127.0.0.1:8000/api/notifications/5/eligibility?contact_id=106 -> 200 (5 ms)
