13:37:36 INFO  httpx | HTTP Request: POST http://127.0.0.1:8000/api/campaigns "HTTP/1.1 201 Created"
13:37:36 INFO  tests.http | POST http://127.0.0.1:8000/api/campaigns -> 201 (9 ms)
13:37:36 INFO  httpx | HTTP Request: PATCH http://127.0.0.1:8000/api/campaigns/11 "HTTP/1.1 200 OK"
13:37:36 INFO  tests.http | PATCH http://127.0.0.1:8000/api/campaigns/11 -> 200 (15 ms)
13:37:36 INFO  httpx | HTTP Request: PATCH http://127.0.0.1:8000/api/campaigns/11 "HTTP/1.1 200 OK"
13:37:36 INFO  tests.http | PATCH http://127.0.0.1:8000/api/campaigns/11 -> 200 (20 ms)
13:37:36 INFO  httpx | HTTP Request: PATCH http://127.0.0.1:8000/api/campaigns/11 "HTTP/1.1 422 Unprocessable Content"
13:37:36 INFO  tests.http | PATCH http://127.0.0.1:8000/api/campaigns/11 -> 422 (14 ms)
13:37:36 INFO  httpx | HTTP Request: PATCH http://127.0.0.1:8000/api/campaigns/11 "HTTP/1.1 422 Unprocessable Content"
13:37:36 INFO  tests.http | PATCH http://127.0.0.1:8000/api/campaigns/11 -> 422 (10 ms)
13:37:36 INFO  httpx | HTTP Request: PATCH http://127.0.0.1:8000/api/campaigns/11 "HTTP/1.1 422 Unprocessable Content"
13:37:36 INFO  tests.http | PATCH http://127.0.0.1:8000/api/campaigns/11 -> 422 (8 ms)
13:37:36 INFO  httpx | HTTP Request: GET http://127.0.0.1:8000/api/campaigns/11 "HTTP/1.1 200 OK"
13:37:36 INFO  tests.http | GET http://127.0.0.1:8000/api/campaigns/11 -> 200 (5 ms)
