12:09:41 INFO  httpx | HTTP Request: POST http://127.0.0.1:8000/api/contacts "HTTP/1.1 201 Created"
12:09:41 INFO  tests.http | POST http://127.0.0.1:8000/api/contacts -> 201 (15 ms)
12:09:41 INFO  httpx | HTTP Request: GET http://127.0.0.1:8000/api/contacts?q=Genevieve "HTTP/1.1 200 OK"
12:09:41 INFO  tests.http | GET http://127.0.0.1:8000/api/contacts?q=Genevieve -> 200 (15 ms)
12:09:41 INFO  httpx | HTTP Request: GET http://127.0.0.1:8000/api/contacts?q=genevieve "HTTP/1.1 200 OK"
12:09:41 INFO  tests.http | GET http://127.0.0.1:8000/api/contacts?q=genevieve -> 200 (9 ms)
12:09:41 INFO  httpx | HTTP Request: GET http://127.0.0.1:8000/api/contacts?q=GENEV "HTTP/1.1 200 OK"
12:09:41 INFO  tests.http | GET http://127.0.0.1:8000/api/contacts?q=GENEV -> 200 (9 ms)
12:09:41 INFO  httpx | HTTP Request: GET http://127.0.0.1:8000/api/contacts?q=contact.c0bf1bca%40qa.example.com "HTTP/1.1 200 OK"
12:09:41 INFO  tests.http | GET http://127.0.0.1:8000/api/contacts?q=contact.c0bf1bca%40qa.example.com -> 200 (9 ms)
12:09:41 INFO  httpx | HTTP Request: DELETE http://127.0.0.1:8000/api/contacts/63 "HTTP/1.1 204 No Content"
12:09:41 INFO  tests.http | DELETE http://127.0.0.1:8000/api/contacts/63 -> 204 (8 ms)
