12:37:45 INFO  httpx | HTTP Request: GET http://127.0.0.1:8000/api/health "HTTP/1.1 200 OK"
12:37:47 INFO  httpx | HTTP Request: POST http://127.0.0.1:8000/api/auth/login "HTTP/1.1 200 OK"
12:37:47 INFO  tests.http | POST http://127.0.0.1:8000/api/auth/login -> 200 (298 ms)
12:37:47 INFO  httpx | HTTP Request: POST http://127.0.0.1:8000/api/contacts "HTTP/1.1 201 Created"
12:37:47 INFO  tests.http | POST http://127.0.0.1:8000/api/contacts -> 201 (43 ms)
12:37:47 INFO  httpx | HTTP Request: POST http://127.0.0.1:8000/api/contacts "HTTP/1.1 201 Created"
12:37:47 INFO  tests.http | POST http://127.0.0.1:8000/api/contacts -> 201 (18 ms)
12:37:47 INFO  httpx | HTTP Request: POST http://127.0.0.1:8000/api/segments "HTTP/1.1 201 Created"
12:37:47 INFO  tests.http | POST http://127.0.0.1:8000/api/segments -> 201 (18 ms)
12:37:47 INFO  httpx | HTTP Request: POST http://127.0.0.1:8000/api/campaigns "HTTP/1.1 201 Created"
12:37:47 INFO  tests.http | POST http://127.0.0.1:8000/api/campaigns -> 201 (17 ms)
12:37:47 INFO  httpx | HTTP Request: POST http://127.0.0.1:8000/api/campaigns/11/send "HTTP/1.1 202 Accepted"
12:37:47 INFO  tests.http | POST http://127.0.0.1:8000/api/campaigns/11/send -> 202 (25 ms)
12:37:47 INFO  httpx | HTTP Request: GET http://127.0.0.1:8000/api/campaigns/11/deliveries "HTTP/1.1 200 OK"
12:37:47 INFO  tests.http | GET http://127.0.0.1:8000/api/campaigns/11/deliveries -> 200 (11 ms)
12:37:47 INFO  httpx | HTTP Request: GET http://127.0.0.1:8000/api/campaigns/11/deliveries "HTTP/1.1 200 OK"
12:37:47 INFO  tests.http | GET http://127.0.0.1:8000/api/campaigns/11/deliveries -> 200 (36 ms)
12:37:47 INFO  httpx | HTTP Request: GET http://127.0.0.1:8000/api/campaigns/11/deliveries "HTTP/1.1 200 OK"
12:37:47 INFO  tests.http | GET http://127.0.0.1:8000/api/campaigns/11/deliveries -> 200 (8 ms)
12:37:48 INFO  httpx | HTTP Request: GET http://127.0.0.1:8000/api/campaigns/11/deliveries "HTTP/1.1 200 OK"
12:37:48 INFO  tests.http | GET http://127.0.0.1:8000/api/campaigns/11/deliveries -> 200 (7 ms)
12:37:48 INFO  httpx | HTTP Request: GET http://127.0.0.1:8000/api/campaigns/11/deliveries "HTTP/1.1 200 OK"
12:37:48 INFO  tests.http | GET http://127.0.0.1:8000/api/campaigns/11/deliveries -> 200 (8 ms)
12:37:48 INFO  httpx | HTTP Request: GET http://127.0.0.1:8000/api/campaigns/11/deliveries "HTTP/1.1 200 OK"
12:37:48 INFO  tests.http | GET http://127.0.0.1:8000/api/campaigns/11/deliveries -> 200 (7 ms)
12:37:48 INFO  httpx | HTTP Request: GET http://127.0.0.1:8000/api/campaigns/11/deliveries "HTTP/1.1 200 OK"
12:37:48 INFO  tests.http | GET http://127.0.0.1:8000/api/campaigns/11/deliveries -> 200 (8 ms)
12:37:49 INFO  httpx | HTTP Request: GET http://127.0.0.1:8000/api/campaigns/11/deliveries "HTTP/1.1 200 OK"
12:37:49 INFO  tests.http | GET http://127.0.0.1:8000/api/campaigns/11/deliveries -> 200 (7 ms)
12:37:49 INFO  httpx | HTTP Request: GET http://127.0.0.1:8000/api/campaigns/11/deliveries "HTTP/1.1 200 OK"
12:37:49 INFO  tests.http | GET http://127.0.0.1:8000/api/campaigns/11/deliveries -> 200 (7 ms)
12:37:49 INFO  httpx | HTTP Request: GET http://127.0.0.1:8000/api/analytics/campaigns/11 "HTTP/1.1 200 OK"
12:37:49 INFO  tests.http | GET http://127.0.0.1:8000/api/analytics/campaigns/11 -> 200 (5 ms)
12:37:49 INFO  httpx | HTTP Request: POST http://127.0.0.1:8000/api/webhooks/delivery "HTTP/1.1 200 OK"
12:37:49 INFO  tests.http | POST http://127.0.0.1:8000/api/webhooks/delivery -> 200 (9 ms)
12:37:49 INFO  httpx | HTTP Request: POST http://127.0.0.1:8000/api/webhooks/delivery "HTTP/1.1 200 OK"
12:37:49 INFO  tests.http | POST http://127.0.0.1:8000/api/webhooks/delivery -> 200 (6 ms)
12:37:49 INFO  httpx | HTTP Request: GET http://127.0.0.1:8000/api/analytics/campaigns/11 "HTTP/1.1 200 OK"
12:37:49 INFO  tests.http | GET http://127.0.0.1:8000/api/analytics/campaigns/11 -> 200 (6 ms)
12:37:49 INFO  httpx | HTTP Request: POST http://127.0.0.1:8000/api/webhooks/delivery "HTTP/1.1 200 OK"
12:37:49 INFO  tests.http | POST http://127.0.0.1:8000/api/webhooks/delivery -> 200 (6 ms)
12:37:49 INFO  httpx | HTTP Request: GET http://127.0.0.1:8000/api/analytics/campaigns/11 "HTTP/1.1 200 OK"
12:37:49 INFO  tests.http | GET http://127.0.0.1:8000/api/analytics/campaigns/11 -> 200 (4 ms)
12:37:49 INFO  httpx | HTTP Request: DELETE http://127.0.0.1:8000/api/contacts/61 "HTTP/1.1 500 Internal Server Error"
12:37:49 INFO  tests.http | DELETE http://127.0.0.1:8000/api/contacts/61 -> 500 (16 ms)
12:37:49 INFO  httpx | HTTP Request: DELETE http://127.0.0.1:8000/api/contacts/62 "HTTP/1.1 500 Internal Server Error"
12:37:49 INFO  tests.http | DELETE http://127.0.0.1:8000/api/contacts/62 -> 500 (13 ms)
