19:56:26 INFO  httpx | HTTP Request: POST http://127.0.0.1:8000/api/campaigns "HTTP/1.1 201 Created"
19:56:26 INFO  tests.http | POST http://127.0.0.1:8000/api/campaigns -> 201 (11 ms)
19:56:26 INFO  httpx | HTTP Request: PATCH http://127.0.0.1:8000/api/campaigns/11 "HTTP/1.1 200 OK"
19:56:26 INFO  tests.http | PATCH http://127.0.0.1:8000/api/campaigns/11 -> 200 (11 ms)
19:56:26 INFO  httpx | HTTP Request: PATCH http://127.0.0.1:8000/api/campaigns/11 "HTTP/1.1 200 OK"
19:56:26 INFO  tests.http | PATCH http://127.0.0.1:8000/api/campaigns/11 -> 200 (15 ms)
19:56:26 INFO  httpx | HTTP Request: PATCH http://127.0.0.1:8000/api/campaigns/11 "HTTP/1.1 422 Unprocessable Content"
19:56:26 INFO  tests.http | PATCH http://127.0.0.1:8000/api/campaigns/11 -> 422 (12 ms)
19:56:26 INFO  httpx | HTTP Request: PATCH http://127.0.0.1:8000/api/campaigns/11 "HTTP/1.1 422 Unprocessable Content"
19:56:26 INFO  tests.http | PATCH http://127.0.0.1:8000/api/campaigns/11 -> 422 (20 ms)
19:56:26 INFO  httpx | HTTP Request: PATCH http://127.0.0.1:8000/api/campaigns/11 "HTTP/1.1 422 Unprocessable Content"
19:56:26 INFO  tests.http | PATCH http://127.0.0.1:8000/api/campaigns/11 -> 422 (14 ms)
19:56:26 INFO  httpx | HTTP Request: GET http://127.0.0.1:8000/api/campaigns/11 "HTTP/1.1 200 OK"
19:56:26 INFO  tests.http | GET http://127.0.0.1:8000/api/campaigns/11 -> 200 (9 ms)
