10:43:57 INFO  httpx | HTTP Request: POST http://127.0.0.1:8000/api/campaigns "HTTP/1.1 201 Created"
10:43:57 INFO  tests.http | POST http://127.0.0.1:8000/api/campaigns -> 201 (8 ms)
10:43:57 INFO  httpx | HTTP Request: PATCH http://127.0.0.1:8000/api/campaigns/9 "HTTP/1.1 200 OK"
10:43:57 INFO  tests.http | PATCH http://127.0.0.1:8000/api/campaigns/9 -> 200 (15 ms)
10:43:57 INFO  httpx | HTTP Request: PATCH http://127.0.0.1:8000/api/campaigns/9 "HTTP/1.1 200 OK"
10:43:57 INFO  tests.http | PATCH http://127.0.0.1:8000/api/campaigns/9 -> 200 (16 ms)
10:43:57 INFO  httpx | HTTP Request: PATCH http://127.0.0.1:8000/api/campaigns/9 "HTTP/1.1 422 Unprocessable Content"
10:43:57 INFO  tests.http | PATCH http://127.0.0.1:8000/api/campaigns/9 -> 422 (16 ms)
10:43:57 INFO  httpx | HTTP Request: PATCH http://127.0.0.1:8000/api/campaigns/9 "HTTP/1.1 422 Unprocessable Content"
10:43:57 INFO  tests.http | PATCH http://127.0.0.1:8000/api/campaigns/9 -> 422 (22 ms)
10:43:57 INFO  httpx | HTTP Request: PATCH http://127.0.0.1:8000/api/campaigns/9 "HTTP/1.1 422 Unprocessable Content"
10:43:57 INFO  tests.http | PATCH http://127.0.0.1:8000/api/campaigns/9 -> 422 (18 ms)
10:43:57 INFO  httpx | HTTP Request: GET http://127.0.0.1:8000/api/campaigns/9 "HTTP/1.1 200 OK"
10:43:57 INFO  tests.http | GET http://127.0.0.1:8000/api/campaigns/9 -> 200 (11 ms)
