13:05:40 INFO  httpx | HTTP Request: GET http://127.0.0.1:8000/api/health "HTTP/1.1 200 OK"
13:05:40 INFO  tests.setup | Resetting database at http://127.0.0.1:8000
13:05:42 INFO  httpx | HTTP Request: POST http://127.0.0.1:8000/api/test/reset "HTTP/1.1 200 OK"
13:05:42 INFO  tests.setup | Database reset complete: {'tenants': 2, 'users': 6, 'contacts': 60, 'segments': 4, 'campaigns': 5, 'notifications': 3, 'surveys': 2, 'survey_responses': 5, 'deliveries': 15}
13:05:42 INFO  httpx | HTTP Request: POST http://127.0.0.1:8000/api/auth/login "HTTP/1.1 200 OK"
13:05:42 INFO  tests.http | POST http://127.0.0.1:8000/api/auth/login -> 200 (290 ms)
13:05:42 INFO  httpx | HTTP Request: POST http://127.0.0.1:8000/api/contacts "HTTP/1.1 201 Created"
13:05:42 INFO  tests.http | POST http://127.0.0.1:8000/api/contacts -> 201 (15 ms)
13:05:42 INFO  httpx | HTTP Request: POST http://127.0.0.1:8000/api/contacts "HTTP/1.1 201 Created"
13:05:42 INFO  tests.http | POST http://127.0.0.1:8000/api/contacts -> 201 (11 ms)
13:05:42 INFO  httpx | HTTP Request: POST http://127.0.0.1:8000/api/segments "HTTP/1.1 201 Created"
13:05:42 INFO  tests.http | POST http://127.0.0.1:8000/api/segments -> 201 (16 ms)
13:05:42 INFO  httpx | HTTP Request: POST http://127.0.0.1:8000/api/campaigns "HTTP/1.1 201 Created"
13:05:42 INFO  tests.http | POST http://127.0.0.1:8000/api/campaigns -> 201 (29 ms)
13:05:42 INFO  httpx | HTTP Request: POST http://127.0.0.1:8000/api/campaigns/7/send "HTTP/1.1 202 Accepted"
13:05:42 INFO  tests.http | POST http://127.0.0.1:8000/api/campaigns/7/send -> 202 (38 ms)
13:05:42 INFO  httpx | HTTP Request: GET http://127.0.0.1:8000/api/campaigns/7/deliveries "HTTP/1.1 200 OK"
13:05:42 INFO  tests.http | GET http://127.0.0.1:8000/api/campaigns/7/deliveries -> 200 (22 ms)
13:05:43 INFO  httpx | HTTP Request: GET http://127.0.0.1:8000/api/campaigns/7/deliveries "HTTP/1.1 200 OK"
13:05:43 INFO  tests.http | GET http://127.0.0.1:8000/api/campaigns/7/deliveries -> 200 (11 ms)
13:05:43 INFO  httpx | HTTP Request: GET http://127.0.0.1:8000/api/campaigns/7/deliveries "HTTP/1.1 200 OK"
13:05:43 INFO  tests.http | GET http://127.0.0.1:8000/api/campaigns/7/deliveries -> 200 (13 ms)
13:05:43 INFO  httpx | HTTP Request: GET http://127.0.0.1:8000/api/campaigns/7/deliveries "HTTP/1.1 200 OK"
13:05:43 INFO  tests.http | GET http://127.0.0.1:8000/api/campaigns/7/deliveries -> 200 (7 ms)
13:05:43 INFO  httpx | HTTP Request: GET http://127.0.0.1:8000/api/campaigns/7/deliveries "HTTP/1.1 200 OK"
13:05:43 INFO  tests.http | GET http://127.0.0.1:8000/api/campaigns/7/deliveries -> 200 (6 ms)
13:05:44 INFO  httpx | HTTP Request: GET http://127.0.0.1:8000/api/campaigns/7/deliveries "HTTP/1.1 200 OK"
13:05:44 INFO  tests.http | GET http://127.0.0.1:8000/api/campaigns/7/deliveries -> 200 (6 ms)
13:05:44 INFO  httpx | HTTP Request: GET http://127.0.0.1:8000/api/campaigns/7/deliveries "HTTP/1.1 200 OK"
13:05:44 INFO  tests.http | GET http://127.0.0.1:8000/api/campaigns/7/deliveries -> 200 (6 ms)
13:05:44 INFO  httpx | HTTP Request: GET http://127.0.0.1:8000/api/campaigns/7/deliveries "HTTP/1.1 200 OK"
13:05:44 INFO  tests.http | GET http://127.0.0.1:8000/api/campaigns/7/deliveries -> 200 (8 ms)
13:05:44 INFO  httpx | HTTP Request: GET http://127.0.0.1:8000/api/campaigns/7/deliveries "HTTP/1.1 200 OK"
13:05:44 INFO  tests.http | GET http://127.0.0.1:8000/api/campaigns/7/deliveries -> 200 (7 ms)
13:05:44 INFO  httpx | HTTP Request: GET http://127.0.0.1:8000/api/analytics/campaigns/7 "HTTP/1.1 200 OK"
13:05:44 INFO  tests.http | GET http://127.0.0.1:8000/api/analytics/campaigns/7 -> 200 (6 ms)
13:05:44 INFO  httpx | HTTP Request: POST http://127.0.0.1:8000/api/webhooks/delivery "HTTP/1.1 200 OK"
13:05:44 INFO  tests.http | POST http://127.0.0.1:8000/api/webhooks/delivery -> 200 (13 ms)
13:05:45 INFO  httpx | HTTP Request: POST http://127.0.0.1:8000/api/webhooks/delivery "HTTP/1.1 200 OK"
13:05:45 INFO  tests.http | POST http://127.0.0.1:8000/api/webhooks/delivery -> 200 (9 ms)
13:05:45 INFO  httpx | HTTP Request: GET http://127.0.0.1:8000/api/analytics/campaigns/7 "HTTP/1.1 200 OK"
13:05:45 INFO  tests.http | GET http://127.0.0.1:8000/api/analytics/campaigns/7 -> 200 (6 ms)
13:05:45 INFO  httpx | HTTP Request: POST http://127.0.0.1:8000/api/webhooks/delivery "HTTP/1.1 200 OK"
13:05:45 INFO  tests.http | POST http://127.0.0.1:8000/api/webhooks/delivery -> 200 (8 ms)
13:05:45 INFO  httpx | HTTP Request: GET http://127.0.0.1:8000/api/analytics/campaigns/7 "HTTP/1.1 200 OK"
13:05:45 INFO  tests.http | GET http://127.0.0.1:8000/api/analytics/campaigns/7 -> 200 (7 ms)
13:05:45 INFO  httpx | HTTP Request: DELETE http://127.0.0.1:8000/api/contacts/61 "HTTP/1.1 500 Internal Server Error"
13:05:45 INFO  tests.http | DELETE http://127.0.0.1:8000/api/contacts/61 -> 500 (18 ms)
13:05:45 INFO  httpx | HTTP Request: DELETE http://127.0.0.1:8000/api/contacts/62 "HTTP/1.1 500 Internal Server Error"
13:05:45 INFO  tests.http | DELETE http://127.0.0.1:8000/api/contacts/62 -> 500 (13 ms)
