13:37:41 INFO  httpx | HTTP Request: POST http://127.0.0.1:8000/api/notifications "HTTP/1.1 201 Created"
13:37:41 INFO  tests.http | POST http://127.0.0.1:8000/api/notifications -> 201 (6 ms)
13:37:41 INFO  httpx | HTTP Request: PATCH http://127.0.0.1:8000/api/notifications/5 "HTTP/1.1 200 OK"
13:37:41 INFO  tests.http | PATCH http://127.0.0.1:8000/api/notifications/5 -> 200 (6 ms)
13:37:41 INFO  httpx | HTTP Request: POST http://127.0.0.1:8000/api/contacts "HTTP/1.1 201 Created"
13:37:41 INFO  tests.http | POST http://127.0.0.1:8000/api/contacts -> 201 (6 ms)
13:37:41 INFO  httpx | HTTP Request: POST http://127.0.0.1:8000/api/notifications/5/impressions?contact_id=114 "HTTP/1.1 201 Created"
13:37:41 INFO  tests.http | POST http://127.0.0.1:8000/api/notifications/5/impressions?contact_id=114 -> 201 (7 ms)
13:37:41 INFO  httpx | HTTP Request: POST http://127.0.0.1:8000/api/notifications/5/impressions?contact_id=114 "HTTP/1.1 201 Created"
13:37:41 INFO  tests.http | POST http://127.0.0.1:8000/api/notifications/5/impressions?contact_id=114 -> 201 (7 ms)
13:37:41 INFO  httpx | HTTP Request: POST http://127.0.0.1:8000/api/notifications/5/impressions?contact_id=114 "HTTP/1.1 201 Created"
13:37:41 INFO  tests.http | POST http://127.0.0.1:8000/api/notifications/5/impressions?contact_id=114 -> 201 (6 ms)
13:37:41 INFO  httpx | HTTP Request: GET http://127.0.0.1:8000/api/notifications/5/eligibility?contact_id=114 "HTTP/1.1 200 OK"
13:37:41 INFO  tests.http | GET http://127.0.0.1:8000/api/notifications/5/eligibility?contact_id=114 -> 200 (5 ms)
