19:52:35 INFO  httpx | HTTP Request: POST http://127.0.0.1:8000/api/notifications "HTTP/1.1 201 Created"
19:52:35 INFO  tests.http | POST http://127.0.0.1:8000/api/notifications -> 201 (10 ms)
19:52:35 INFO  httpx | HTTP Request: PATCH http://127.0.0.1:8000/api/notifications/6 "HTTP/1.1 200 OK"
19:52:35 INFO  tests.http | PATCH http://127.0.0.1:8000/api/notifications/6 -> 200 (14 ms)
19:52:35 INFO  httpx | HTTP Request: POST http://127.0.0.1:8000/api/contacts "HTTP/1.1 201 Created"
19:52:35 INFO  tests.http | POST http://127.0.0.1:8000/api/contacts -> 201 (10 ms)
19:52:35 INFO  httpx | HTTP Request: POST http://127.0.0.1:8000/api/notifications/6/impressions?contact_id=115 "HTTP/1.1 201 Created"
19:52:35 INFO  tests.http | POST http://127.0.0.1:8000/api/notifications/6/impressions?contact_id=115 -> 201 (12 ms)
19:52:35 INFO  httpx | HTTP Request: POST http://127.0.0.1:8000/api/notifications/6/impressions?contact_id=115 "HTTP/1.1 201 Created"
19:52:35 INFO  tests.http | POST http://127.0.0.1:8000/api/notifications/6/impressions?contact_id=115 -> 201 (9 ms)
19:52:35 INFO  httpx | HTTP Request: POST http://127.0.0.1:8000/api/notifications/6/impressions?contact_id=115 "HTTP/1.1 201 Created"
19:52:35 INFO  tests.http | POST http://127.0.0.1:8000/api/notifications/6/impressions?contact_id=115 -> 201 (14 ms)
19:52:35 INFO  httpx | HTTP Request: GET http://127.0.0.1:8000/api/notifications/6/eligibility?contact_id=115 "HTTP/1.1 200 OK"
19:52:35 INFO  tests.http | GET http://127.0.0.1:8000/api/notifications/6/eligibility?contact_id=115 -> 200 (9 ms)
