11:02:34 INFO  httpx | HTTP Request: POST http://127.0.0.1:8000/api/campaigns "HTTP/1.1 201 Created"
11:02:34 INFO  tests.http | POST http://127.0.0.1:8000/api/campaigns -> 201 (12 ms)
11:02:34 INFO  httpx | HTTP Request: PATCH http://127.0.0.1:8000/api/campaigns/9 "HTTP/1.1 200 OK"
11:02:34 INFO  tests.http | PATCH http://127.0.0.1:8000/api/campaigns/9 -> 200 (6 ms)
11:02:34 INFO  httpx | HTTP Request: PATCH http://127.0.0.1:8000/api/campaigns/9 "HTTP/1.1 200 OK"
11:02:34 INFO  tests.http | PATCH http://127.0.0.1:8000/api/campaigns/9 -> 200 (7 ms)
11:02:34 INFO  httpx | HTTP Request: PATCH http://127.0.0.1:8000/api/campaigns/9 "HTTP/1.1 422 Unprocessable Content"
11:02:34 INFO  tests.http | PATCH http://127.0.0.1:8000/api/campaigns/9 -> 422 (4 ms)
11:02:34 INFO  httpx | HTTP Request: PATCH http://127.0.0.1:8000/api/campaigns/9 "HTTP/1.1 422 Unprocessable Content"
11:02:34 INFO  tests.http | PATCH http://127.0.0.1:8000/api/campaigns/9 -> 422 (107 ms)
11:02:34 INFO  httpx | HTTP Request: PATCH http://127.0.0.1:8000/api/campaigns/9 "HTTP/1.1 422 Unprocessable Content"
11:02:34 INFO  tests.http | PATCH http://127.0.0.1:8000/api/campaigns/9 -> 422 (6 ms)
11:02:34 INFO  httpx | HTTP Request: GET http://127.0.0.1:8000/api/campaigns/9 "HTTP/1.1 200 OK"
11:02:34 INFO  tests.http | GET http://127.0.0.1:8000/api/campaigns/9 -> 200 (6 ms)
