10:54:41 INFO  httpx | HTTP Request: GET http://127.0.0.1:8000/api/health "HTTP/1.1 200 OK"
10:54:41 INFO  tests.setup | Resetting database at http://127.0.0.1:8000
10:54:42 INFO  httpx | HTTP Request: POST http://127.0.0.1:8000/api/test/reset "HTTP/1.1 200 OK"
10:54:42 INFO  tests.setup | Database reset complete: {'tenants': 2, 'users': 6, 'contacts': 60, 'segments': 4, 'campaigns': 5, 'notifications': 3, 'surveys': 2, 'survey_responses': 5, 'deliveries': 15}
10:54:43 INFO  httpx | HTTP Request: POST http://127.0.0.1:8000/api/auth/login "HTTP/1.1 200 OK"
10:54:43 INFO  tests.http | POST http://127.0.0.1:8000/api/auth/login -> 200 (291 ms)
10:54:43 INFO  httpx | HTTP Request: POST http://127.0.0.1:8000/api/contacts "HTTP/1.1 201 Created"
10:54:43 INFO  tests.http | POST http://127.0.0.1:8000/api/contacts -> 201 (27 ms)
10:54:43 INFO  httpx | HTTP Request: POST http://127.0.0.1:8000/api/contacts "HTTP/1.1 201 Created"
10:54:43 INFO  tests.http | POST http://127.0.0.1:8000/api/contacts -> 201 (14 ms)
10:54:43 INFO  httpx | HTTP Request: POST http://127.0.0.1:8000/api/segments "HTTP/1.1 201 Created"
10:54:43 INFO  tests.http | POST http://127.0.0.1:8000/api/segments -> 201 (17 ms)
10:54:43 INFO  httpx | HTTP Request: POST http://127.0.0.1:8000/api/campaigns "HTTP/1.1 201 Created"
10:54:43 INFO  tests.http | POST http://127.0.0.1:8000/api/campaigns -> 201 (22 ms)
10:54:43 INFO  httpx | HTTP Request: POST http://127.0.0.1:8000/api/campaigns/9/send "HTTP/1.1 202 Accepted"
10:54:43 INFO  tests.http | POST http://127.0.0.1:8000/api/campaigns/9/send -> 202 (18 ms)
10:54:43 INFO  httpx | HTTP Request: GET http://127.0.0.1:8000/api/campaigns/9/deliveries "HTTP/1.1 200 OK"
10:54:43 INFO  tests.http | GET http://127.0.0.1:8000/api/campaigns/9/deliveries -> 200 (9 ms)
10:54:43 INFO  httpx | HTTP Request: GET http://127.0.0.1:8000/api/campaigns/9/deliveries "HTTP/1.1 200 OK"
10:54:43 INFO  tests.http | GET http://127.0.0.1:8000/api/campaigns/9/deliveries -> 200 (10 ms)
10:54:43 INFO  httpx | HTTP Request: GET http://127.0.0.1:8000/api/campaigns/9/deliveries "HTTP/1.1 200 OK"
